cidade,uf,ano,secao,item,custo_rs_ha,custo_rs_60kg,participacao_pct,produtividade_kg_ha,participacao_ct_pct
Assis Chateaubriand,PR,2021,II - OUTRAS DESPESAS,18 - Seguro da Produção,134.64,1.3464,4.1,6000.0,3.34
Assis Chateaubriand,PR,2021,II - OUTRAS DESPESAS,19 - Seguro do crédito,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2021,II - OUTRAS DESPESAS,20 - Assistência Técnica,26.93,0.2693,0.82,6000.0,0.67
Assis Chateaubriand,PR,2021,II - OUTRAS DESPESAS,21 - Classificação,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2021,II - OUTRAS DESPESAS,22 - Outros,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2021,II - OUTRAS DESPESAS,23 - CESSR,117.75,1.1775,3.58,6000.0,2.92
Assis Chateaubriand,PR,2021,II - OUTRAS DESPESAS,TOTAL DAS OUTRAS DESPESAS (B),546.1,5.461,16.62,6000.0,13.54
Assis Chateaubriand,PR,2021,III - DESPESAS FINANCEIRAS,24 - Juros do Financiamento,48.87,0.48,1.49,6000.0,1.21
Assis Chateaubriand,PR,2021,III - DESPESAS FINANCEIRAS,TOTAL DAS DESPESAS FINANCEIRAS (C),48.87,0.48,1.49,6000.0,1.21
Assis Chateaubriand,PR,2021,III - DESPESAS FINANCEIRAS,CUSTO VARIÁVEL (A+B+C=D),3287.79,32.8692,100.01,6000.0,81.5
Assis Chateaubriand,PR,2021,IV - DEPRECIAÇÕES,25 - Depreciação de benfeitorias/instalações,11.46,0.11465,0.35,6000.0,0.28
Assis Chateaubriand,PR,2021,IV - DEPRECIAÇÕES,26 - Depreciação de implementos,151.46,1.51461,4.61,6000.0,3.75
Assis Chateaubriand,PR,2021,IV - DEPRECIAÇÕES,27 - Depreciação de Máquinas,21.73,0.21734,0.66,6000.0,0.54
Assis Chateaubriand,PR,2021,IV - DEPRECIAÇÕES,TOTAL DE DEPRECIAÇÕES (E),184.65,1.8466,5.62,6000.0,4.57
Assis Chateaubriand,PR,2021,V - OUTROS CUSTOS FIXOS,28 - Manutenção Periódica Benfeitorias/Instalações,146.78,1.46783,4.46,6000.0,3.64
Assis Chateaubriand,PR,2021,V - OUTROS CUSTOS FIXOS,29 - Encargos Sociais,35.1,0.35104,1.07,6000.0,0.87
Assis Chateaubriand,PR,2021,V - OUTROS CUSTOS FIXOS,30 - Seguro do capital fixo,9.4,0.09403,0.29,6000.0,0.23
Assis Chateaubriand,PR,2021,V - OUTROS CUSTOS FIXOS,31 - Arrendamento,29.44,0.29438,0.9,6000.0,0.73
Assis Chateaubriand,PR,2021,V - OUTROS CUSTOS FIXOS,TOTAL DE OUTROS CUSTOS FIXOS (F),220.72,2.20728,6.72,6000.0,5.47
Assis Chateaubriand,PR,2021,V - OUTROS CUSTOS FIXOS,CUSTO FIXO (E+F=G),405.37,4.05388,12.34,6000.0,10.04
Assis Chateaubriand,PR,2021,V - OUTROS CUSTOS FIXOS,CUSTO OPERACIONAL (D+G=H),3693.16,36.92308,112.35,6000.0,91.54
Assis Chateaubriand,PR,2021,VI - RENDA DE FATORES,32 - Remuneração esperada sobre o capital fixo,21.19,0.21187,0.64,6000.0,0.53
Assis Chateaubriand,PR,2021,VI - RENDA DE FATORES,33 - Terra Própria,319.9,3.19896,9.73,6000.0,7.93
Assis Chateaubriand,PR,2021,VI - RENDA DE FATORES,TOTAL DE RENDA DE FATORES (F),341.09,3.41083,10.37,6000.0,8.46
Assis Chateaubriand,PR,2021,VI - RENDA DE FATORES,CUSTO TOTAL (H+I=J),4034.25,40.33391,122.72,6000.0,100.0
Assis Chateaubriand,PR,2022,I - DESPESAS DO CUSTEIO,1 - Operação com animal,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2022,I - DESPESAS DO CUSTEIO,2 - Operação com Avião,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2022,3 - Operação com máquinas:,3.1 - Tratores e Colheitadeiras,231.46,2.3146,4.62,6000.0,3.44
Assis Chateaubriand,PR,2022,3 - Operação com máquinas:,3.2 - Conjunto de Irrigação,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2022,3 - Operação com máquinas:,4 - Aluguel de Máquinas,300.15,3.0015,5.99,6000.0,4.46
Assis Chateaubriand,PR,2022,3 - Operação com máquinas:,5 - Aluguel de Animais,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2022,3 - Operação com máquinas:,6 - Mão de obra,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2022,3 - Operação com máquinas:,7 - Administrador,84.84,0.8484,1.69,6000.0,1.26
Assis Chateaubriand,PR,2022,3 - Operação com máquinas:,8 - Sementes e mudas,833.25,8.3325,16.62,6000.0,12.39
Assis Chateaubriand,PR,2022,3 - Operação com máquinas:,9 - Fertilizantes,1930.0,19.3,38.51,6000.0,28.69
Assis Chateaubriand,PR,2022,3 - Operação com máquinas:,10 - Agrotóxicos,744.44,7.4444,14.85,6000.0,11.07
Assis Chateaubriand,PR,2022,3 - Operação com máquinas:,11 - Receita,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2022,12 - Outros:,12.1 - Embalagens/Utensílios,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2022,12 - Outros:,12.2 - Análise de Solo,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2022,12 - Outros:,12.3 - Demais Despesas,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2022,12 - Outros:,13 - Serviços Diversos,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2022,12 - Outros:,TOTAL DAS DESPESAS DE CUSTEIO (A),4124.14,41.2414,82.28,6000.0,61.31
Assis Chateaubriand,PR,2022,II - OUTRAS DESPESAS,14 - Transporte Externo,270.0,2.7,5.39,6000.0,4.01
Assis Chateaubriand,PR,2022,II - OUTRAS DESPESAS,15 - Despesas Administrativas,123.72,1.2372,2.47,6000.0,1.84
Assis Chateaubriand,PR,2022,II - OUTRAS DESPESAS,16 - Despesas de armazenagem,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2022,II - OUTRAS DESPESAS,17 - Beneficiamento,0.0,0.0,0.0,6000.0,0.0
Assis Chateaubriand,PR,2022,II - OUTRAS DESPESAS,18 - Seguro da Produção,206.21,2.0621,4.11,6000.0,3.07
Assis Chateaubriand,PR,2022,II - OUTRAS DESPESAS,19 - Seguro do crédito,0.0,0.0,0.0,6000.0,0.0
