municipio,ano,data_semeadura,produtividade_prevista_kg_ha
Mercedes,2013,15/03/,3036.8412253278957
Mercedes,2013,25/03/,3535.331067855241
Mercedes,2014,05/02/,3093.2932937811142
Mercedes,2014,15/02/,3218.6682768968626
Mercedes,2014,25/02/,3172.443297680752
Mercedes,2014,05/03/,3200.951166481111
Mercedes,2014,15/03/,3204.7221695873573
Mercedes,2014,25/03/,3017.56590166378
Mercedes,2015,05/02/,2877.811843028139
Mercedes,2015,15/02/,2999.889065297033
Mercedes,2015,25/02/,2998.6916768475694
Mercedes,2015,05/03/,3004.15042051755
Mercedes,2015,15/03/,2997.6792008118227
Mercedes,2015,25/03/,3004.124418341705
Mercedes,2016,05/02/,3326.8389720655573
Mercedes,2016,15/02/,3323.8093849428765
Mercedes,2016,25/02/,3325.354457477488
Mercedes,2016,05/03/,3324.236591126502
Mercedes,2016,15/03/,3315.112699157698
Mercedes,2016,25/03/,3204.7223982385
Mercedes,2017,05/02/,3802.9654333246604
Mercedes,2017,15/02/,3804.572978601448
Mercedes,2017,25/02/,3529.199411866489
Mercedes,2017,05/03/,3800.700067083431
Mercedes,2017,15/03/,3540.2809702714576
Mercedes,2017,25/03/,3841.383025527225
Mercedes,2018,05/02/,3719.0405323228956
Mercedes,2018,15/02/,3726.7816726253395
Mercedes,2018,25/02/,3708.7143386883627
Mercedes,2018,05/03/,3713.3075636622243
Mercedes,2018,15/03/,3722.957500917501
Mercedes,2018,25/03/,3718.6936975141384
Mercedes,2019,05/02/,1832.2431463464784
Mercedes,2019,15/02/,1837.8965728930784
Mercedes,2019,25/02/,2142.170058278481
Mercedes,2019,05/03/,1806.4862689535028
Mercedes,2019,15/03/,2218.433719578349
Mercedes,2019,25/03/,1790.2294555696324
Mercedes,2020,05/02/,3874.870324535887
Mercedes,2020,15/02/,3870.6378429266556
Mercedes,2020,25/02/,3871.200955281408
Mercedes,2020,05/03/,3543.850018383464
Mercedes,2020,15/03/,3321.1022998181616
Mercedes,2020,25/03/,3863.71552263916
Mercedes,2021,05/02/,3022.9739630676363
Mercedes,2021,15/02/,3112.1604551433143
Mercedes,2021,25/02/,3263.586715284781
Mercedes,2021,05/03/,3098.3203456835745
Mercedes,2021,15/03/,2683.3267400998475
Mercedes,2021,25/03/,2881.0335794930725
Mercedes,2022,05/02/,2548.186624238031
Mercedes,2022,15/02/,3005.480563189688
Mercedes,2022,25/02/,3356.746041729249
Mercedes,2022,05/03/,3379.66680444278
Mercedes,2022,15/03/,3285.08143127245
Mercedes,2022,25/03/,3293.3976717042074
Mercedes,2023,05/02/,3158.6240558670374
Mercedes,2023,15/02/,3096.2379902759353
Mercedes,2023,25/02/,3243.256279849322
Mercedes,2023,05/03/,3536.2860849755098
Mercedes,2023,15/03/,3299.349608595931
Mercedes,2023,25/03/,3384.4254058086353
Mercedes,2024,05/02/,2646.5860324071455
Mercedes,2024,15/02/,2580.848742923816
Mercedes,2024,25/02/,2765.804604577198
Mercedes,2024,05/03/,3057.9045991722514
Mercedes,2024,15/03/,3014.3065873650326
Mercedes,2024,25/03/,2986.116541211881
Mercedes,2025,05/02/,2755.5471569249494
Mercedes,2025,15/02/,2986.394486062965
Mercedes,2025,25/02/,2912.3978104935777
Mercedes,2025,05/03/,3055.995815867109
Mercedes,2025,15/03/,3053.85026398688
Mercedes,2025,25/03/,3125.530615241762
Missal,1999,05/02/,2884.8348520709073
Missal,1999,15/02/,3131.588543538684
Missal,1999,25/02/,3108.1896805730757
Missal,1999,05/03/,3124.6694145361607
Missal,1999,15/03/,3098.8681990108316
Missal,1999,25/03/,2922.8593309431762
Missal,2000,05/02/,2898.5327476172993
Missal,2000,15/02/,3037.7768783023894
Missal,2000,25/02/,2820.3853207551315
Missal,2000,05/03/,2906.3453364604234
Missal,2000,15/03/,2709.7708412306424
Missal,2000,25/03/,2659.993476089339
Missal,2001,05/02/,3175.1231069792666
Missal,2001,15/02/,3377.0317410261187
Missal,2001,25/02/,3116.321527560636
Missal,2001,05/03/,3029.2175431137853
Missal,2001,15/03/,3203.453232522587
Missal,2001,25/03/,3281.664496563127
Missal,2002,05/02/,2237.5342510219384
Missal,2002,15/02/,2237.9050850626104
Missal,2002,25/02/,1833.7445322029723
Missal,2002,05/03/,2173.180992479308
Missal,2002,15/03/,2238.112982245131
Missal,2002,25/03/,2614.9929330816763
Missal,2003,05/02/,3322.1409978961497
Missal,2003,15/02/,3319.3937816192943
Missal,2003,25/02/,3374.455961727531
Missal,2003,05/03/,3350.3535702744384
Missal,2003,15/03/,3035.228180947638
Missal,2003,25/03/,2917.407537604163
Missal,2004,05/02/,2426.798362081533
Missal,2004,15/02/,2063.7482032851085
