municipio,data_semeadura,n_anos,pct_anos_cobre_custo,margem_media_rs_ha,risco_economico
Pato Bragado,25/02/,26,3.8,-933.2977962019269,Menos viável
Pato Bragado,25/03/,26,3.8,-954.5631183648887,Menos viável
Quatro Pontes,05/02/,26,7.7,-904.8890252973729,Viabilidade intermediária
Quatro Pontes,05/03/,26,7.7,-895.9040362220222,Viabilidade intermediária
Quatro Pontes,15/02/,26,3.8,-932.6153400970081,Menos viável
Quatro Pontes,15/03/,26,7.7,-914.2573420819006,Menos viável
Quatro Pontes,25/02/,26,7.7,-902.1378588274617,Viabilidade intermediária
Quatro Pontes,25/03/,26,7.7,-907.5816103544129,Viabilidade intermediária
Ramilândia,05/02/,26,3.8,-986.5747315800579,Menos viável
Ramilândia,05/03/,26,3.8,-948.4635637266418,Menos viável
Ramilândia,15/02/,26,3.8,-970.0980192297156,Menos viável
Ramilândia,15/03/,26,3.8,-978.4606401734521,Menos viável
Ramilândia,25/02/,26,3.8,-955.3035086199541,Menos viável
Ramilândia,25/03/,26,3.8,-953.2446149313438,Menos viável
Santa Helena,05/02/,26,3.8,-997.5097514248621,Menos viável
Santa Helena,05/03/,26,3.8,-958.538247731083,Menos viável
Santa Helena,15/02/,26,3.8,-978.9506495789922,Menos viável
Santa Helena,15/03/,26,3.8,-990.9652373280865,Menos viável
Santa Helena,25/02/,26,3.8,-967.6877413105291,Menos viável
Santa Helena,25/03/,26,3.8,-962.3596162698097,Menos viável
Santa Lúcia,05/02/,26,7.7,-907.2801991763749,Viabilidade intermediária
Santa Lúcia,05/03/,26,3.8,-858.5140782762056,Mais viável
Santa Lúcia,15/02/,26,7.7,-873.9247707487258,Mais viável
Santa Lúcia,15/03/,26,7.7,-876.330701673282,Viabilidade intermediária
Santa Lúcia,25/02/,26,7.7,-849.8042037650703,Mais viável
Santa Lúcia,25/03/,26,7.7,-863.7747558806151,Mais viável
Santa Tereza do Oeste,05/02/,26,3.8,-893.699226782196,Viabilidade intermediária
Santa Tereza do Oeste,05/03/,26,7.7,-851.154794303813,Mais viável
Santa Tereza do Oeste,15/02/,26,7.7,-888.8975480408558,Viabilidade intermediária
Santa Tereza do Oeste,15/03/,26,7.7,-868.2119192743448,Mais viável
Santa Tereza do Oeste,25/02/,26,7.7,-860.3558290951371,Mais viável
Santa Tereza do Oeste,25/03/,26,7.7,-872.6547955466917,Mais viável
Santa Terezinha de Itaipu,05/02/,26,7.7,-962.919577639418,Menos viável
Santa Terezinha de Itaipu,05/03/,26,7.7,-887.7174802776121,Viabilidade intermediária
Santa Terezinha de Itaipu,15/02/,26,7.7,-920.9167033288583,Menos viável
Santa Terezinha de Itaipu,15/03/,26,7.7,-923.6427037447836,Menos viável
Santa Terezinha de Itaipu,25/02/,26,7.7,-892.9330080488614,Viabilidade intermediária
Santa Terezinha de Itaipu,25/03/,26,7.7,-904.5819949203141,Viabilidade intermediária
Serranópolis do Iguaçu,05/02/,26,7.7,-911.2516290032522,Menos viável
Serranópolis do Iguaçu,05/03/,26,3.8,-863.9331319024803,Mais viável
Serranópolis do Iguaçu,15/02/,26,7.7,-877.8617299346499,Viabilidade intermediária
Serranópolis do Iguaçu,15/03/,26,7.7,-882.597156905828,Viabilidade intermediária
Serranópolis do Iguaçu,25/02/,26,7.7,-852.4109773214259,Mais viável
Serranópolis do Iguaçu,25/03/,26,7.7,-867.5608049284638,Mais viável
São José das Palmeiras,05/02/,26,3.8,-987.9676317964471,Menos viável
São José das Palmeiras,05/03/,26,3.8,-952.7459692229341,Menos viável
São José das Palmeiras,15/02/,26,3.8,-968.255066496217,Menos viável
São José das Palmeiras,15/03/,26,3.8,-985.017047498007,Menos viável
São José das Palmeiras,25/02/,26,3.8,-960.773309472416,Menos viável
São José das Palmeiras,25/03/,26,3.8,-956.2675582800467,Menos viável
