Fase,Tmin,Tmax,Tmed,Chuva,UR,ETc,ETR,ARM,DEF,EXC,N,PP,Data semeadura,Data maturação,ISNA,PA,Municipio,Ano
2,16.874642857142856,27.898214285714285,22.386428571428574,13.76,80.81500000000001,61.56500322348899,18.197784992691034,3.6581922721824207,43.36721823079796,0.0,11.17764941044295,2145.0239593487236,2018-03-25,2018-07-02,0.2955865189616038,-310.8121212677414,São Pedro do Iguaçu,2018
3,11.323333333333334,22.03666666666667,16.680000000000003,106.61,82.89999999999999,68.17952467882431,48.55373557785397,40.391157398807664,19.625789100970337,21.323299295520783,10.642954129220971,1530.7402238453365,2018-03-25,2018-07-02,0.7121454103204409,-266.0777734502619,São Pedro do Iguaçu,2018
4,11.615454545454545,22.147727272727273,16.881590909090907,56.47,84.02,28.654678923909188,26.128798942117356,45.10301869994998,2.5258799817918334,25.629339756740332,10.461595304916758,1031.4579777468357,2018-03-25,2018-07-02,0.9118510457402381,-261.3868779539806,São Pedro do Iguaçu,2018
1,19.448235294117648,30.148235294117647,24.798235294117646,83.88000000000001,76.74176470588235,20.49571806180505,18.119036184661265,20.014179627243248,2.3766818771437848,52.59345085476216,12.858875507986241,2099.358797816614,2019-02-05,2019-05-15,0.8840400775431787,9340.870562797374,São Pedro do Iguaçu,2019
2,19.381071428571428,29.225714285714286,24.303392857142857,199.04,80.51464285714285,67.49783495413682,59.53697113133496,41.87744487968773,7.960863822801857,117.63976361622056,12.33332378784719,3143.1774174607544,2019-02-05,2019-05-15,0.8820574937224124,7688.34203531108,São Pedro do Iguaçu,2019
3,17.403333333333336,28.175757575757576,22.789545454545454,71.7,79.88575757575758,123.0973858321393,79.4101945829941,34.167250296693645,43.68719124914521,0.0,11.58281734649034,2909.386675405692,2019-02-05,2019-05-15,0.6451005766384115,6324.047957841797,São Pedro do Iguaçu,2019
4,17.090454545454545,25.73136363636364,21.41090909090909,140.09,87.04272727272728,41.974605547132604,38.542749748665926,45.55284767101294,3.43185579846668,90.16165287701477,10.967673816392999,1643.2884511742984,2019-02-05,2019-05-15,0.9182397129470795,6220.636762567881,São Pedro do Iguaçu,2019
1,18.19529411764706,29.741764705882353,23.968529411764706,63.050000000000004,75.35411764705883,20.984719187208583,18.850653275979695,12.305360723775339,2.1340659112288862,38.74065266691163,12.634073225837156,1899.5710230073628,2019-02-15,2019-05-25,0.8983038137327218,8699.489230963569,São Pedro do Iguaçu,2019
2,19.162857142857145,28.665357142857143,23.914107142857144,168.39000000000001,82.7192857142857,71.12538308802293,49.030488241360295,13.334782836236512,22.094894846662626,118.33008964617854,12.086898096204578,2956.401722505386,2019-02-15,2019-05-25,0.6893528879933262,4645.78242266558,São Pedro do Iguaçu,2019
3,17.457272727272727,27.475757575757576,22.46651515151515,125.28,82.26757575757576,102.67431968356578,74.61321870233652,44.130832614895766,28.061100981229266,19.870731519004234,11.347451799509628,2801.879223101595,2019-02-15,2019-05-25,0.7266979604275794,4010.931516903478,São Pedro do Iguaçu,2019
4,15.215909090909092,23.673636363636366,19.444772727272728,124.08,87.36727272727272,37.36737508387212,35.31140271130687,46.361865018267046,2.0559723725652503,86.53756488532184,10.78634347750018,1410.5250038423671,2019-02-15,2019-05-25,0.9449794809522865,3966.794810118505,São Pedro do Iguaçu,2019
1,19.029411764705884,29.707647058823532,24.368529411764705,141.64000000000001,77.6029411764706,19.431681620333862,14.282474683549202,21.593333333333323,5.149206936784662,112.61085864978415,12.395706191996224,1900.0400686696544,2019-02-25,2019-06-04,0.7350097105648136,7577.32523270547,São Pedro do Iguaçu,2019
2,18.093214285714286,27.630714285714284,22.861964285714286,96.59,83.41785714285713,63.236666599324515,43.90234862265575,32.525932915048855,19.33431797666876,41.75505179562872,11.838774421039863,2690.364466159178,2019-02-25,2019-06-04,0.6942546307955566,4102.227081421952,São Pedro do Iguaçu,2019
3,17.515151515151516,27.184242424242427,22.349696969696968,168.09,83.45242424242424,96.4229064661021,74.38388565298713,46.85006185469409,22.039020813114973,79.38198540736764,11.126549312896783,2645.15077082383,2019-02-25,2019-06-04,0.7714337638135509,3633.411779430583,São Pedro do Iguaçu,2019
4,13.613181818181818,22.413181818181815,18.01318181818182,173.42,88.06590909090909,32.50613740517649,29.669287828612187,45.08305087035812,2.836849576564298,145.5177231557238,10.638843269371419,1240.1631631393468,2019-02-25,2019-06-04,0.9127288012966885,3569.993339155855,São Pedro do Iguaçu,2019
1,20.311176470588236,28.20705882352941,24.259117647058826,167.98000000000002,86.39235294117647,14.42225223209615,12.784578498420393,20.593280280731076,1.6376737336757579,139.39347744654054,12.199078002882574,1931.6794245577341,2019-03-05,2019-06-12,0.8864481283976452,7624.0737443893095,São Pedro do Iguaçu,2019
