Year,PlantingDate,YieldFresh_ton_ha,Municipio,WP,HI0,CCx,CGC,CDC
2017,01/05,13.216.851.528.791.400,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2017,02/05,1.297.607.784.267.760,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2017,03/05,12.408.358.986.597.100,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2018,01/05,1.342.151.181.842.590,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2018,02/05,1.300.555.954.383.150,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2018,03/05,12.236.164.182.320.600,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2019,01/05,13.404.716.374.337.800,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2019,02/05,13.265.572.768.060.300,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2019,03/05,12.897.044.412.469.600,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2020,01/05,12.470.357.996.906.800,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2020,02/05,1.280.506.985.439.220,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2020,03/05,12.249.635.869.512.200,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2021,01/05,13.520.198.001.794.700,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2021,02/05,13.380.680.104.779.200,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2021,03/05,12.563.343.442.534.500,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2022,01/05,13.328.014.862.832.800,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2022,02/05,12.235.031.837.774.800,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2022,03/05,1.145.760.621.988.360,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2023,01/05,1.351.814.100.616.080,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2023,02/05,1.340.615.047.932.210,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2023,03/05,12.659.305.857.938.700,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2024,01/05,13.635.970.269.217.300,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2024,02/05,13.092.098.701.914.800,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2024,03/05,12.757.472.527.019.200,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2015,01/05,13.257.203.222.766.600,Matelândia,30.0,0.45,0.9,12,6
2015,02/05,12.996.774.719.793.200,Matelândia,30.0,0.45,0.9,12,6
2015,03/05,12.066.475.381.710.300,Matelândia,30.0,0.45,0.9,12,6
2016,01/05,12.725.326.768.021.700,Matelândia,30.0,0.45,0.9,12,6
2016,02/05,11.270.114.563.168.600,Matelândia,30.0,0.45,0.9,12,6
2016,03/05,9.555.242.877.842.510,Matelândia,30.0,0.45,0.9,12,6
2017,01/05,13.124.982.473.380.500,Matelândia,30.0,0.45,0.9,12,6
2017,02/05,1.265.373.186.224.410,Matelândia,30.0,0.45,0.9,12,6
2017,03/05,11.734.639.266.254.600,Matelândia,30.0,0.45,0.9,12,6
2018,01/05,13.405.532.420.254.800,Matelândia,30.0,0.45,0.9,12,6
2018,02/05,124.110.733.837.406,Matelândia,30.0,0.45,0.9,12,6
2018,03/05,11.166.629.184.900.900,Matelândia,30.0,0.45,0.9,12,6
2019,01/05,1.341.600.413.099.560,Matelândia,30.0,0.45,0.9,12,6
2019,02/05,13.048.760.202.130.800,Matelândia,30.0,0.45,0.9,12,6
2019,03/05,12.390.546.993.558.600,Matelândia,30.0,0.45,0.9,12,6
2020,01/05,13.279.686.713.529.200,Matelândia,30.0,0.45,0.9,12,6
2020,02/05,12.056.061.766.453.200,Matelândia,30.0,0.45,0.9,12,6
2020,03/05,11.084.606.112.910.900,Matelândia,30.0,0.45,0.9,12,6
2021,01/05,13.506.683.456.951.100,Matelândia,30.0,0.45,0.9,12,6
2021,02/05,13.070.030.370.627,Matelândia,30.0,0.45,0.9,12,6
2021,03/05,11.925.273.642.681.000,Matelândia,30.0,0.45,0.9,12,6
2022,01/05,13.218.897.398.578.000,Matelândia,30.0,0.45,0.9,12,6
2022,02/05,11.646.273.511.595.000,Matelândia,30.0,0.45,0.9,12,6
2022,03/05,8.846.640.932.646.770,Matelândia,30.0,0.45,0.9,12,6
2023,01/05,13.404.544.494.537.100,Matelândia,30.0,0.45,0.9,12,6
2023,02/05,13.034.878.107.876.400,Matelândia,30.0,0.45,0.9,12,6
2023,03/05,12.107.716.033.189.400,Matelândia,30.0,0.45,0.9,12,6
2024,01/05,13.532.922.269.099.900,Matelândia,30.0,0.45,0.9,12,6
