municipio,data_semeadura,isna_medio,isna_desvio,n_anos,freq_evento_adverso,freq_deficit_faseI,freq_deficit_faseIII,freq_frio_floracao,freq_geada,freq_excesso_faseIV,risco_climatico
Corbélia,05/03/,0.7076953512032427,0.11161146097321392,27,0.37037037037037035,0.2222222222222222,0.18518518518518517,1.0,0.0,0.4444444444444444,Risco climático 40%
Corbélia,15/02/,0.7336000929667233,0.10308154499907662,27,0.2962962962962963,0.07407407407407407,0.25925925925925924,0.7407407407407407,0.0,0.25925925925925924,Risco climático 30%
Corbélia,15/03/,0.7145295133901824,0.10821983637476042,27,0.48148148148148145,0.2962962962962963,0.25925925925925924,1.0,0.037037037037037035,0.5185185185185185,Inapto (risco > 40%)
Corbélia,25/02/,0.707974400308145,0.10870724798981375,27,0.37037037037037035,0.1111111111111111,0.2962962962962963,0.9259259259259259,0.0,0.37037037037037035,Risco climático 40%
Corbélia,25/03/,0.7068008541913229,0.12235785826322278,27,0.5555555555555556,0.48148148148148145,0.14814814814814814,1.0,0.14814814814814814,0.48148148148148145,Inapto (risco > 40%)
Céu Azul,05/02/,0.7326195426621467,0.11893925373062192,27,0.3333333333333333,0.18518518518518517,0.2222222222222222,0.5185185185185185,0.0,0.3333333333333333,Risco climático 40%
Céu Azul,05/03/,0.7313249466905272,0.09548349731933002,27,0.37037037037037035,0.2962962962962963,0.14814814814814814,1.0,0.0,0.5185185185185185,Risco climático 40%
Céu Azul,15/02/,0.7321453356260016,0.09741097812603301,27,0.25925925925925924,0.1111111111111111,0.18518518518518517,0.8518518518518519,0.0,0.37037037037037035,Risco climático 30%
Céu Azul,15/03/,0.7403247117966058,0.0983623772755646,27,0.5555555555555556,0.4444444444444444,0.1111111111111111,1.0,0.037037037037037035,0.5185185185185185,Inapto (risco > 40%)
Céu Azul,25/02/,0.7236931136665788,0.09831462317720407,27,0.2962962962962963,0.2222222222222222,0.14814814814814814,0.9629629629629629,0.0,0.4074074074074074,Risco climático 30%
Céu Azul,25/03/,0.7413706820309821,0.11593646469136935,27,0.6296296296296297,0.5925925925925926,0.1111111111111111,1.0,0.18518518518518517,0.5555555555555556,Inapto (risco > 40%)
Diamante D'Oeste,05/02/,0.6725791217487554,0.1404638252627179,27,0.48148148148148145,0.25925925925925924,0.4074074074074074,0.2222222222222222,0.0,0.25925925925925924,Inapto (risco > 40%)
Diamante D'Oeste,05/03/,0.6850264488333935,0.11383392905148448,27,0.4444444444444444,0.37037037037037035,0.18518518518518517,0.9259259259259259,0.0,0.4444444444444444,Inapto (risco > 40%)
Diamante D'Oeste,15/02/,0.6753336280949022,0.1191067434224431,27,0.4074074074074074,0.14814814814814814,0.2962962962962963,0.48148148148148145,0.0,0.3333333333333333,Inapto (risco > 40%)
Diamante D'Oeste,15/03/,0.7042963443197316,0.10981823305190574,27,0.7037037037037037,0.5185185185185185,0.18518518518518517,1.0,0.0,0.48148148148148145,Inapto (risco > 40%)
Diamante D'Oeste,25/02/,0.6714475147844282,0.11477631354011526,27,0.4074074074074074,0.2962962962962963,0.18518518518518517,0.7777777777777778,0.0,0.37037037037037035,Inapto (risco > 40%)
Diamante D'Oeste,25/03/,0.7122999577748649,0.12399619661753866,27,0.7777777777777778,0.7407407407407407,0.1111111111111111,1.0,0.0,0.4444444444444444,Inapto (risco > 40%)
Diamante do Sul,05/02/,0.7865006425967768,0.09866082373188474,27,0.3333333333333333,0.14814814814814814,0.2222222222222222,0.5925925925925926,0.037037037037037035,0.2962962962962963,Risco climático 40%
Diamante do Sul,05/03/,0.7519850485996757,0.10624855795788744,27,0.2962962962962963,0.18518518518518517,0.1111111111111111,1.0,0.037037037037037035,0.6296296296296297,Risco climático 30%
Diamante do Sul,15/02/,0.7733917255924263,0.09065344997894548,27,0.25925925925925924,0.0,0.25925925925925924,0.8518518518518519,0.037037037037037035,0.3333333333333333,Risco climático 30%
Diamante do Sul,15/03/,0.7553618902848377,0.10463296873282647,27,0.37037037037037035,0.25925925925925924,0.1111111111111111,1.0,0.07407407407407407,0.5925925925925926,Risco climático 40%
Diamante do Sul,25/02/,0.7518248356174089,0.09822140529464006,27,0.3333333333333333,0.14814814814814814,0.18518518518518517,0.9629629629629629,0.037037037037037035,0.4074074074074074,Risco climático 40%
Diamante do Sul,25/03/,0.7505724164063592,0.1194022968498987,27,0.4444444444444444,0.37037037037037035,0.1111111111111111,1.0,0.18518518518518517,0.5925925925925926,Inapto (risco > 40%)
Entre Rios do Oeste,05/02/,0.670608836434018,0.1352887915620564,27,0.5555555555555556,0.25925925925925924,0.48148148148148145,0.14814814814814814,0.0,0.14814814814814814,Inapto (risco > 40%)
Entre Rios do Oeste,05/03/,0.6647078922010426,0.12059753427053387,27,0.5185185185185185,0.48148148148148145,0.2222222222222222,0.9259259259259259,0.0,0.37037037037037035,Inapto (risco > 40%)
Entre Rios do Oeste,15/02/,0.6742949522972731,0.11876602511135394,27,0.3333333333333333,0.07407407407407407,0.2962962962962963,0.48148148148148145,0.0,0.2222222222222222,Risco climático 40%
Entre Rios do Oeste,15/03/,0.6757579894738112,0.11858765185802095,27,0.7037037037037037,0.5925925925925926,0.14814814814814814,1.0,0.0,0.25925925925925924,Inapto (risco > 40%)
Entre Rios do Oeste,25/02/,0.6600834183685463,0.12027344189104965,27,0.4444444444444444,0.25925925925925924,0.25925925925925924,0.7777777777777778,0.0,0.2962962962962963,Inapto (risco > 40%)
Entre Rios do Oeste,25/03/,0.6836398239872663,0.12424870116711872,27,0.7407407407407407,0.6666666666666666,0.14814814814814814,1.0,0.0,0.37037037037037035,Inapto (risco > 40%)
Formosa do Oeste,05/02/,0.7349893275277244,0.11743090232814267,27,0.48148148148148145,0.18518518518518517,0.4074074074074074,0.4074074074074074,0.0,0.14814814814814814,Inapto (risco > 40%)
Formosa do Oeste,05/03/,0.6966582932730057,0.11059269609736667,27,0.4444444444444444,0.25925925925925924,0.2222222222222222,1.0,0.0,0.4074074074074074,Inapto (risco > 40%)
Formosa do Oeste,15/02/,0.7205828513635459,0.10276308298092829,27,0.2962962962962963,0.07407407407407407,0.25925925925925924,0.7407407407407407,0.0,0.18518518518518517,Risco climático 30%
Formosa do Oeste,15/03/,0.7023875524916547,0.10832668474690857,27,0.48148148148148145,0.2962962962962963,0.25925925925925924,1.0,0.037037037037037035,0.48148148148148145,Inapto (risco > 40%)
Formosa do Oeste,25/02/,0.6963297178385169,0.10855989123057765,27,0.4074074074074074,0.14814814814814814,0.2962962962962963,0.9259259259259259,0.0,0.3333333333333333,Inapto (risco > 40%)
Formosa do Oeste,25/03/,0.694511795744387,0.12193767618704748,27,0.5555555555555556,0.48148148148148145,0.14814814814814814,1.0,0.14814814814814814,0.37037037037037035,Inapto (risco > 40%)
Foz do Iguaçu,05/02/,0.6456509609891825,0.13025781513247778,27,0.5185185185185185,0.25925925925925924,0.4444444444444444,0.4444444444444444,0.0,0.25925925925925924,Inapto (risco > 40%)
Foz do Iguaçu,05/03/,0.6640004914891117,0.0975813792455261,27,0.6296296296296297,0.5185185185185185,0.2962962962962963,0.9629629629629629,0.0,0.25925925925925924,Inapto (risco > 40%)
Foz do Iguaçu,15/02/,0.6467748365856786,0.10722359011426741,27,0.48148148148148145,0.18518518518518517,0.37037037037037035,0.7407407407407407,0.0,0.25925925925925924,Inapto (risco > 40%)
Foz do Iguaçu,15/03/,0.689531941962335,0.09798066976315455,27,0.6666666666666666,0.5185185185185185,0.18518518518518517,1.0,0.037037037037037035,0.4074074074074074,Inapto (risco > 40%)
