,Unnamed: 0,Year,PlantingDate,YieldFresh_ton_ha,Municipio,WP,HI0,CCx,CGC,CDC
151,151,2016,03/25,9.456865663232830,Medianeira,30.0,0.45,0.9,12,7
152,152,2017,03/25,11.556090931681600,Medianeira,30.0,0.45,0.9,12,7
153,153,2018,03/25,10.995781313552600,Medianeira,30.0,0.45,0.9,12,7
154,154,2019,03/25,1.184267232522310,Medianeira,30.0,0.45,0.9,12,7
155,155,2020,03/25,10.806174061505300,Medianeira,30.0,0.45,0.9,12,7
156,156,2021,03/25,1.131110092356690,Medianeira,30.0,0.45,0.9,12,7
157,157,2022,03/25,10.539180848864600,Medianeira,30.0,0.45,0.9,12,7
158,158,2023,03/25,12.094423808074000,Medianeira,30.0,0.45,0.9,12,7
159,159,2024,03/25,10.849260583202200,Medianeira,30.0,0.45,0.9,12,7
160,160,2015,03/25,1.229807856957910,Santa Helena,30.0,0.45,0.9,12,7
161,161,2016,03/25,10.138385498582900,Santa Helena,30.0,0.45,0.9,12,7
162,162,2017,03/25,118.642274020336,Santa Helena,30.0,0.45,0.9,12,7
163,163,2018,03/25,1.153581280684690,Santa Helena,30.0,0.45,0.9,12,7
164,164,2019,03/25,12.135653310542200,Santa Helena,30.0,0.45,0.9,12,7
165,165,2020,03/25,11.571115356177200,Santa Helena,30.0,0.45,0.9,12,7
166,166,2021,03/25,1.165949327506620,Santa Helena,30.0,0.45,0.9,12,7
167,167,2022,03/25,11.130264580049600,Santa Helena,30.0,0.45,0.9,12,7
168,168,2023,03/25,12.363857428973800,Santa Helena,30.0,0.45,0.9,12,7
169,169,2024,03/25,11.506033510658300,Santa Helena,30.0,0.45,0.9,12,7
170,170,2015,03/25,11.924693055374100,São Miguel do Iguaçu,30.0,0.45,0.9,12,7
171,171,2016,03/25,9.457171560642620,São Miguel do Iguaçu,30.0,0.45,0.9,12,7
172,172,2017,03/25,11.556114571526300,São Miguel do Iguaçu,30.0,0.45,0.9,12,7
173,173,2018,03/25,10.996005087739600,São Miguel do Iguaçu,30.0,0.45,0.9,12,7
174,174,2019,03/25,11.842703607032400,São Miguel do Iguaçu,30.0,0.45,0.9,12,7
175,175,2020,03/25,10.806390078504100,São Miguel do Iguaçu,30.0,0.45,0.9,12,7
176,176,2021,03/25,1.131179783224060,São Miguel do Iguaçu,30.0,0.45,0.9,12,7
177,177,2022,03/25,10.539180848864600,São Miguel do Iguaçu,30.0,0.45,0.9,12,7
178,178,2023,03/25,12.094762245340900,São Miguel do Iguaçu,30.0,0.45,0.9,12,7
179,179,2024,03/25,10.849339773123000,São Miguel do Iguaçu,30.0,0.45,0.9,12,7
180,180,2015,03/25,1.110459381602900,São Pedro do Iguaçu,30.0,0.45,0.9,12,7
181,181,2016,03/25,56.062070706927900,São Pedro do Iguaçu,30.0,0.45,0.9,12,7
182,182,2017,03/25,1.071015485936360,São Pedro do Iguaçu,30.0,0.45,0.9,12,7
183,183,2018,03/25,10.383384018724100,São Pedro do Iguaçu,30.0,0.45,0.9,12,7
184,184,2019,03/25,11.251673910929700,São Pedro do Iguaçu,30.0,0.45,0.9,12,7
185,185,2020,03/25,10.376410714169500,São Pedro do Iguaçu,30.0,0.45,0.9,12,7
186,186,2021,03/25,10.746960061970200,São Pedro do Iguaçu,30.0,0.45,0.9,12,7
187,187,2022,03/25,9.722657636932750,São Pedro do Iguaçu,30.0,0.45,0.9,12,7
188,188,2023,03/25,11.401722923227400,São Pedro do Iguaçu,30.0,0.45,0.9,12,7
189,189,2024,03/25,10.910457058515700,São Pedro do Iguaçu,30.0,0.45,0.9,12,7
190,190,2015,03/25,11.695619969952500,Toledo,30.0,0.45,0.9,12,7
191,191,2016,03/25,8.144278808944180,Toledo,30.0,0.45,0.9,12,7
192,192,2017,03/25,11.138593889158200,Toledo,30.0,0.45,0.9,12,7
193,193,2018,03/25,11.192994195391800,Toledo,30.0,0.45,0.9,12,7
194,194,2019,03/25,11.765422839367500,Toledo,30.0,0.45,0.9,12,7
195,195,2020,03/25,11.354961154818200,Toledo,30.0,0.45,0.9,12,7
196,196,2021,03/25,11.200808393339600,Toledo,30.0,0.45,0.9,12,7
197,197,2022,03/25,10.305825986329800,Toledo,30.0,0.45,0.9,12,7
198,198,2023,03/25,11.814807740830900,Toledo,30.0,0.45,0.9,12,7
