municipio,data_semeadura,isna_medio,isna_desvio,n_anos,freq_evento_adverso,freq_deficit_faseI,freq_deficit_faseIII,freq_frio_floracao,freq_geada,freq_excesso_faseIV,risco_climatico,produtividade_media_kg_ha,produtividade_desvio_kg_ha,classe_produtividade,pct_anos_cobre_custo,margem_media_rs_ha_100pct,risco_economico,margem_media_rs_ha_rateio50,margem_media_rs_ha_rateio_proporcional,score_clima,score_produtividade,score_economico,score_integrado,componente_agroclimatico,topsis_score,classe_risco_topsis,topsis_score_rateio50,topsis_score_rateio_proporcional
Braganey,25/03/,0.7499272613639866,0.115788185402448,27,0.4074074074074074,0.3333333333333333,0.1111111111111111,1.0,0.1481481481481481,0.5555555555555556,Inapto (risco > 40%),3328.580529333714,337.8234433594653,Alta produtividade prevista,7.7,-849.7832124827819,Mais viável,51.31389287844816,218.1837272046019,3,0,0,3,1.56180307332709,0.7959258160458358,Baixo risco integrado,0.8182828628646541,0.7984761581739862
Cafelândia,05/02/,0.7366026160824503,0.1173105635896937,27,0.4444444444444444,0.1851851851851851,0.3703703703703703,0.4074074074074074,0.0,0.1481481481481481,Inapto (risco > 40%),3239.6670544323447,399.9258979763859,Alta produtividade prevista,7.7,-879.2693566661036,Viabilidade intermediária,21.82774869512652,188.69758302128028,3,0,1,4,0.8917855337774542,0.6711125196593426,Baixo risco integrado,0.6735160411336756,0.6713956469141837
Cafelândia,05/03/,0.6978795579441178,0.1108465398763539,27,0.4444444444444444,0.2592592592592592,0.2222222222222222,1.0,0.0,0.4074074074074074,Inapto (risco > 40%),3243.840204626537,466.23351061867714,Alta produtividade prevista,7.7,-868.4197298233702,Mais viável,32.67737553785983,199.5472098640136,3,0,0,3,0.08930584985156907,0.5222396655290932,Risco integrado intermediário,0.6208619051616118,0.534235252567172
Cafelândia,15/02/,0.7222215252492826,0.1028729969288194,27,0.3333333333333333,0.074074074074074,0.2962962962962963,0.7407407407407407,0.0,0.1851851851851851,Risco climático 40%,3233.373896628187,402.5684049205087,Produtividade prevista intermediária,3.8,-891.5558833422352,Viabilidade intermediária,9.541222018994825,176.4110563451486,2,1,1,4,0.5595661418152319,0.6092526177571584,Risco integrado intermediário,0.6075915581538126,0.6090564985915441
Cafelândia,15/03/,0.7041147518172529,0.1081771989122183,27,0.4814814814814814,0.2962962962962963,0.2592592592592592,1.0,0.037037037037037,0.5185185185185185,Inapto (risco > 40%),3251.0641624230143,408.18493795019555,Alta produtividade prevista,7.7,-872.6982557150956,Mais viável,28.39884964613456,195.2686839722884,3,0,0,3,0.2529439678284522,0.5525632366613603,Risco integrado intermediário,0.6271078111735572,0.5614250782399268
Cafelândia,25/02/,0.6976990419455633,0.1084221259328206,27,0.4074074074074074,0.1481481481481481,0.2962962962962963,0.925925925925926,0.0,0.3333333333333333,Inapto (risco > 40%),3247.271964646299,400.1226852577314,Alta produtividade prevista,3.8,-873.3657130485025,Mais viável,27.731392312727465,194.6012266388813,3,0,0,3,0.10044105057790369,0.5242409134686039,Risco integrado intermediário,0.6101954510858482,0.5345939885330947
Cafelândia,25/03/,0.6961101471277615,0.1219852063028276,27,0.5555555555555556,0.4814814814814814,0.1481481481481481,1.0,0.1481481481481481,0.3703703703703703,Inapto (risco > 40%),3239.8274926184513,380.48666782764394,Alta produtividade prevista,3.8,-878.9851853766296,Viabilidade intermediária,22.1119199846004,188.9817543107542,3,0,1,4,0.03431240321921552,0.51188867088146,Risco integrado intermediário,0.5897049497388106,0.5212435114755924
Campo Bonito,05/02/,0.7746723245647215,0.1022053621080676,27,0.3333333333333333,0.1481481481481481,0.2222222222222222,0.5185185185185185,0.0,0.2962962962962963,Risco climático 40%,3372.2834230397984,323.7862374611773,Alta produtividade prevista,3.8,-848.4144025156747,Mais viável,52.68270284555524,219.55253717170905,2,0,0,2,2.2767599406364574,0.9286248464492455,Baixo risco integrado,0.8860744821458364,0.922408192352039
Campo Bonito,05/03/,0.7482613503434868,0.0988027641994627,27,0.3333333333333333,0.2222222222222222,0.1111111111111111,1.0,0.0,0.5925925925925926,Risco climático 40%,3368.4392508873707,389.1228229250176,Alta produtividade prevista,3.8,-835.0579529842342,Mais viável,66.03915237699594,232.90898670314976,2,0,0,2,1.7002630604958164,0.8217896528464144,Baixo risco integrado,0.864516164990027,0.8265008129844659
Campo Bonito,15/02/,0.7630902088812243,0.0928599180021125,27,0.2962962962962963,0.037037037037037,0.2592592592592592,0.8518518518518519,0.0,0.3333333333333333,Risco climático 30%,3401.6684533215575,381.0937599104876,Alta produtividade prevista,7.7,-837.7234184227698,Mais viável,63.37368693846035,230.2435212646141,1,0,0,1,2.1594013317464458,0.9070709531963121,Baixo risco integrado,0.9101985052694204,0.9074350720562623
