cidade,uf,ano,secao,item,custo_rs_ha,custo_rs_60kg,participacao_pct,produtividade_kg_ha,participacao_ct_pct,categoria_total,categoria_item,fator_deflator,custo_rs_ha_real,custo_rs_60kg_real
Assis Chateaubriand,PR,2019,VI - RENDA DE FATORES,34 - Arrendamento,0.0,0.0,0.0,6000.0,,,Arrendamento,1.40033526552242,0.0,0.0
Assis Chateaubriand,PR,2019,VI - RENDA DE FATORES,TOTAL DA RENDA DE FATORES (I),642.29,6.42,0.187866693073559,6000.0,,Total Renda de Fatores (I),,1.40033526552242,899.421337692395,8.990152404653935
Assis Chateaubriand,PR,2019,VI - RENDA DE FATORES,CUSTO TOTAL  (H+I = J),3418.860413689786,34.15,0.9482195882314656,6000.0,,Custo Total (J),,1.40033526552242,4787.550805188377,47.82144931759064
Assis Chateaubriand,PR,2020,I - DESPESAS DE CUSTEIO,1 - Operação com animal,0.0,0.0,0.0,6000.0,0.0,,,1.356761632067946,0.0,0.0
Assis Chateaubriand,PR,2020,I - DESPESAS DE CUSTEIO,2 - Operação com Avião,0.0,0.0,0.0,6000.0,0.0,,,1.356761632067946,0.0,0.0
Assis Chateaubriand,PR,2020,3 - Operação com máquinas:,3.1 - Tratores e Colheitadeiras,119.01,1.19,4.75,6000.0,3.45,,,1.356761632067946,161.46820183240627,1.6145463421608557
Assis Chateaubriand,PR,2020,3 - Operação com máquinas:,3.2 - Conjunto de Irrigação,0.0,0.0,0.0,6000.0,0.0,,,1.356761632067946,0.0,0.0
Assis Chateaubriand,PR,2020,3 - Operação com máquinas:,4 - Aluguel de Máquinas,146.74,1.47,5.86,6000.0,4.26,,Máquinas/Depreciação,1.356761632067946,199.09120188965042,1.9944395991398807
Assis Chateaubriand,PR,2020,3 - Operação com máquinas:,5 - Aluguel de Animais,0.0,0.0,0.0,6000.0,0.0,,,1.356761632067946,0.0,0.0
Assis Chateaubriand,PR,2020,3 - Operação com máquinas:,6 - Mão de obra,0.0,0.0,0.0,6000.0,0.0,,Mão de obra,1.356761632067946,0.0,0.0
