Fase,Tmin,Tmax,Tmed,Chuva,UR,ETc,ETR,ARM,DEF,EXC,N,PP,ISNA,PA,Data semeadura,Data maturação,Municipio,Ano,Latitude,Longitude,Altitude
1,20.148823529411764,26.856470588235293,23.50264705882353,153.41,89.32529411764706,13.158446156640816,11.705487662711102,18.460335831411033,1.4529584939297133,128.10300588631048,12.200197381356505,1863.796293763352,0.8895797819413173,7324.419015544658,2019-03-05,2019-06-12,Cascavel,2019,-25.02937098765911,-53.3797126987861,661
2,17.035357142857144,27.23107142857143,22.133214285714285,37.44,80.81678571428571,62.42506245301838,39.10077882483615,16.79955700657488,23.32428362818223,0.0,11.64030346003592,2369.6575456232836,0.6263634714705127,3219.413273849452,2019-03-05,2019-06-12,Cascavel,2019,-25.02937098765911,-53.3797126987861,661
3,16.551515151515154,25.006666666666668,20.77909090909091,153.52,86.02969696969697,75.61130773950619,65.43155709371047,33.14377494638824,10.17975064579573,71.74422496647618,10.958769013543389,2354.2649519716847,0.8653673511260154,3002.6942054102424,2019-03-05,2019-06-12,Cascavel,2019,-25.02937098765911,-53.3797126987861,661
4,12.898181818181818,21.473636363636363,17.18590909090909,211.66,88.23,26.881345764166685,25.32338885391254,36.4453457789924,1.5579569102541433,183.03504031348328,10.54184226627581,1075.1546884237928,0.9420431951613476,2967.8888929996197,2019-03-05,2019-06-12,Cascavel,2019,-25.02937098765911,-53.3797126987861,661
1,18.052941176470586,27.033529411764704,22.543235294117647,41.25,83.40705882352941,15.713408457256925,9.203497156153999,4.9945008732381355,6.509911301102926,33.875557526163426,11.949855616551645,1601.0587449909663,0.5857097892662203,5926.77754235317,2019-03-15,2019-06-22,Cascavel,2019,-25.02937098765911,-53.3797126987861,661
2,17.422142857142855,27.036785714285713,22.229464285714283,107.58,82.39928571428571,51.66814490944731,37.586423775188315,47.239999999999974,14.081721134258993,27.74807709804984,11.400203047925629,2333.140749347571,0.7274583564217686,3503.8370035799444,2019-03-15,2019-06-22,Cascavel,2019,-25.02937098765911,-53.3797126987861,661
3,15.406363636363636,23.28757575757576,19.346969696969698,281.0,88.47090909090909,65.19936434000451,61.43930624851483,47.24,3.7600580914896833,219.56069375148513,10.779852451987637,2075.247250660376,0.9423298351210672,3402.803574727264,2019-03-15,2019-06-22,Cascavel,2019,-25.02937098765911,-53.3797126987861,661
4,13.026363636363635,22.356818181818184,17.69159090909091,13.91,86.32727272727273,31.2987562945706,23.953664071289978,25.548569297348603,7.345092223280626,11.647766631361423,10.472177712239775,1094.5827475680858,0.7653231919456563,3243.091758456683,2019-03-15,2019-06-22,Cascavel,2019,-25.02937098765911,-53.3797126987861,661
1,17.592352941176472,27.197058823529414,22.39470588235294,33.37,82.03529411764706,14.905927167587643,8.388231629653509,15.562965499476112,6.5176955379341335,14.397756704540637,11.700469319765526,1498.2419748749944,0.5627447078832769,5496.321216114076,2019-03-25,2019-07-02,Cascavel,2019,-25.02937098765911,-53.3797126987861,661
2,17.379285714285714,26.71857142857143,22.048928571428572,105.94,83.49178571428571,48.26891486029947,40.99588772119786,47.239999999999974,7.273027139101607,33.26707777827827,11.173007121768677,2191.6326523753196,0.8493227544030917,4254.065403474198,2019-03-25,2019-07-02,Cascavel,2019,-25.02937098765911,-53.3797126987861,661
