Year,PlantingDate,YieldFresh_ton_ha,Municipio,WP,HI0,CCx,CGC,CDC
2017,01/05,13.124982473380500,Matelândia,30.0,0.45,0.9,12,6
2017,02/05,1.265373186224410,Matelândia,30.0,0.45,0.9,12,6
2017,03/05,11.734639266254600,Matelândia,30.0,0.45,0.9,12,6
2018,01/05,13.405532420254800,Matelândia,30.0,0.45,0.9,12,6
2018,02/05,124.110733837406,Matelândia,30.0,0.45,0.9,12,6
2018,03/05,11.166629184900900,Matelândia,30.0,0.45,0.9,12,6
2019,01/05,1.341600413099560,Matelândia,30.0,0.45,0.9,12,6
2019,02/05,13.048760202130800,Matelândia,30.0,0.45,0.9,12,6
2019,03/05,12.390546993558600,Matelândia,30.0,0.45,0.9,12,6
2020,01/05,13.279686713529200,Matelândia,30.0,0.45,0.9,12,6
2020,02/05,12.056061766453200,Matelândia,30.0,0.45,0.9,12,6
2020,03/05,11.084606112910900,Matelândia,30.0,0.45,0.9,12,6
2021,01/05,13.506683456951100,Matelândia,30.0,0.45,0.9,12,6
2021,02/05,13.070030370627,Matelândia,30.0,0.45,0.9,12,6
2021,03/05,11.925273642681000,Matelândia,30.0,0.45,0.9,12,6
2022,01/05,13.218897398578000,Matelândia,30.0,0.45,0.9,12,6
2022,02/05,11.646273511595000,Matelândia,30.0,0.45,0.9,12,6
2022,03/05,8.846640932646770,Matelândia,30.0,0.45,0.9,12,6
2023,01/05,13.404544494537100,Matelândia,30.0,0.45,0.9,12,6
2023,02/05,13.034878107876400,Matelândia,30.0,0.45,0.9,12,6
2023,03/05,12.107716033189400,Matelândia,30.0,0.45,0.9,12,6
2024,01/05,13.532922269099900,Matelândia,30.0,0.45,0.9,12,6
2024,02/05,12.706099480318300,Matelândia,30.0,0.45,0.9,12,6
2024,03/05,11.979388020872900,Matelândia,30.0,0.45,0.9,12,6
2015,01/05,13.286530584766900,Medianeira,30.0,0.45,0.9,12,6
2015,02/05,1.313263678961890,Medianeira,30.0,0.45,0.9,12,6
2015,03/05,12.384384165320300,Medianeira,30.0,0.45,0.9,12,6
2016,01/05,12.851649741281000,Medianeira,30.0,0.45,0.9,12,6
2016,02/05,11.719751126193100,Medianeira,30.0,0.45,0.9,12,6
2016,03/05,10.257214242645300,Medianeira,30.0,0.45,0.9,12,6
2017,01/05,13.224478541040100,Medianeira,30.0,0.45,0.9,12,6
2017,02/05,12.863220497620600,Medianeira,30.0,0.45,0.9,12,6
2017,03/05,12.108224838122600,Medianeira,30.0,0.45,0.9,12,6
2018,01/05,13.408021608283000,Medianeira,30.0,0.45,0.9,12,6
2018,02/05,12.679057747060100,Medianeira,30.0,0.45,0.9,12,6
2018,03/05,11.579341051017800,Medianeira,30.0,0.45,0.9,12,6
2019,01/05,13.404960370655200,Medianeira,30.0,0.45,0.9,12,6
2019,02/05,13.193658832517700,Medianeira,30.0,0.45,0.9,12,6
2019,03/05,12.638252800762600,Medianeira,30.0,0.45,0.9,12,6
2020,01/05,1.340295544202880,Medianeira,30.0,0.45,0.9,12,6
2020,02/05,12.389310565955800,Medianeira,30.0,0.45,0.9,12,6
2020,03/05,11.456061111202600,Medianeira,30.0,0.45,0.9,12,6
2021,01/05,12.702478718973700,Medianeira,30.0,0.45,0.9,12,6
2021,02/05,13.221633432600500,Medianeira,30.0,0.45,0.9,12,6
2021,03/05,12.194054336717800,Medianeira,30.0,0.45,0.9,12,6
2022,01/05,13.317649163558300,Medianeira,30.0,0.45,0.9,12,6
2022,02/05,11.936358311352400,Medianeira,30.0,0.45,0.9,12,6
2022,03/05,1.098519073962780,Medianeira,30.0,0.45,0.9,12,6
2023,01/05,13.472201358210500,Medianeira,30.0,0.45,0.9,12,6
2023,02/05,13.279579028173100,Medianeira,30.0,0.45,0.9,12,6
2023,03/05,12.551439384718200,Medianeira,30.0,0.45,0.9,12,6
2024,01/05,1.353219599925590,Medianeira,30.0,0.45,0.9,12,6
2024,02/05,12.767884049769200,Medianeira,30.0,0.45,0.9,12,6
2024,03/05,12.011890040697100,Medianeira,30.0,0.45,0.9,12,6
2015,01/05,13.265270342353600,Santa Helena,30.0,0.45,0.9,12,6
2015,02/05,13.203429681134400,Santa Helena,30.0,0.45,0.9,12,6
2015,03/05,12.590812021847100,Santa Helena,30.0,0.45,0.9,12,6
2016,01/05,12.956694989201800,Santa Helena,30.0,0.45,0.9,12,6
2016,02/05,12.083530819545500,Santa Helena,30.0,0.45,0.9,12,6
2016,03/05,10.801179947335200,Santa Helena,30.0,0.45,0.9,12,6
2017,01/05,1.324363434503160,Santa Helena,30.0,0.45,0.9,12,6
2017,02/05,13.009291002740900,Santa Helena,30.0,0.45,0.9,12,6
2017,03/05,12.413662087139000,Santa Helena,30.0,0.45,0.9,12,6
2018,01/05,1.340904133455060,Santa Helena,30.0,0.45,0.9,12,6
2018,02/05,12.962119677146300,Santa Helena,30.0,0.45,0.9,12,6
2018,03/05,12.078594237742700,Santa Helena,30.0,0.45,0.9,12,6
2019,01/05,13.390488899229500,Santa Helena,30.0,0.45,0.9,12,6
2019,02/05,13.264986613520700,Santa Helena,30.0,0.45,0.9,12,6
2019,03/05,12.839010873398100,Santa Helena,30.0,0.45,0.9,12,6
2020,01/05,12.795278438765400,Santa Helena,30.0,0.45,0.9,12,6
2020,02/05,1.264338251697750,Santa Helena,30.0,0.45,0.9,12,6
2020,03/05,12.038525892685000,Santa Helena,30.0,0.45,0.9,12,6
2021,01/05,12.442248146535800,Santa Helena,30.0,0.45,0.9,12,6
2021,02/05,12.665679202489600,Santa Helena,30.0,0.45,0.9,12,6
2021,03/05,1.247634742329030,Santa Helena,30.0,0.45,0.9,12,6
2022,01/05,13.306296953869200,Santa Helena,30.0,0.45,0.9,12,6
2022,02/05,12.223267551007300,Santa Helena,30.0,0.45,0.9,12,6
2022,03/05,11.474769501104900,Santa Helena,30.0,0.45,0.9,12,6
2023,01/05,13.517857345968000,Santa Helena,30.0,0.45,0.9,12,6
2023,02/05,1.343693716224960,Santa Helena,30.0,0.45,0.9,12,6
2023,03/05,1.271605453967580,Santa Helena,30.0,0.45,0.9,12,6
2024,01/05,13.081252948184900,Santa Helena,30.0,0.45,0.9,12,6
2024,02/05,12.925662759029800,Santa Helena,30.0,0.45,0.9,12,6
2024,03/05,12.438742162756600,Santa Helena,30.0,0.45,0.9,12,6
2015,01/05,13.286781560600800,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2015,02/05,13.132691002861600,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2015,03/05,1.238490871429790,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2016,01/05,1.285236601273020,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2016,02/05,11.719995778414200,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2016,03/05,10.257572202164200,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2017,01/05,1.322548993564290,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2017,02/05,12.863398292347500,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2017,03/05,12.108268356137300,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2018,01/05,13.408282818127300,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2018,02/05,12.679031752352100,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2018,03/05,11.579223747544600,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2019,01/05,13.405439789021500,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2019,02/05,13.193626959849700,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2019,03/05,12.638336039595200,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2020,01/05,13.402376404406800,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2020,02/05,12.389701076396900,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2020,03/05,11.456361677925100,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2021,01/05,12.733799511779100,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2021,02/05,13.221966816716300,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2021,03/05,121.942346348547,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2022,01/05,13.318175158556100,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2022,02/05,11.936944267286800,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2022,03/05,1.098519073962780,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2023,01/05,13.472526799048200,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2023,02/05,13.279524377699800,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2023,03/05,12.551927518975100,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2024,01/05,13.532617192714400,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2024,02/05,12.767905652181200,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2024,03/05,12.012039720932700,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2015,01/05,13.208796634957300,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2015,02/05,12.894764627469300,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2015,03/05,11.840945702978700,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2016,01/05,12.692148241153100,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2016,02/05,11.078439234062700,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2016,03/05,9.246581555641590,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2017,01/05,13.052034474180100,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2017,02/05,1.255660676508210,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2017,03/05,11.473812534863400,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2018,01/05,1.340729031066790,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2018,02/05,12.376761944139700,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2018,03/05,1.116243083256270,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2019,01/05,13.421800584735600,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2019,02/05,12.954087830197200,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2019,03/05,12.242542832403300,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2020,01/05,1.325805562132160,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2020,02/05,12.047125421538400,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2020,03/05,11.031103165366000,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2021,01/05,1.345768835618290,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2021,02/05,13.008891516125700,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2021,03/05,1.176074583888950,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2022,01/05,1.314141266538510,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2022,02/05,11.442531098189600,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2022,03/05,7.139115566594720,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2023,01/05,13.339080315571200,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2023,02/05,12.939797003150000,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2023,03/05,1.187333188906940,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2024,01/05,13.583881735296000,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2024,02/05,12.649588472127600,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2024,03/05,11.998278746078700,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2015,01/05,132.384973759241,Toledo,30.0,0.45,0.9,12,6
2015,02/05,13.046524448263200,Toledo,30.0,0.45,0.9,12,6
2015,03/05,1.224779787286330,Toledo,30.0,0.45,0.9,12,6
2016,01/05,12.821999736215700,Toledo,30.0,0.45,0.9,12,6
2016,02/05,11.511416693125000,Toledo,30.0,0.45,0.9,12,6
2016,03/05,9.889028522529990,Toledo,30.0,0.45,0.9,12,6
2017,01/05,13.142022954697300,Toledo,30.0,0.45,0.9,12,6
2017,02/05,12.735056243300000,Toledo,30.0,0.45,0.9,12,6
2017,03/05,1.182224976090700,Toledo,30.0,0.45,0.9,12,6
2018,01/05,1.342203450806020,Toledo,30.0,0.45,0.9,12,6
2018,02/05,12.679033562147100,Toledo,30.0,0.45,0.9,12,6
2018,03/05,11.761043910274400,Toledo,30.0,0.45,0.9,12,6
2019,01/05,13.436508718410300,Toledo,30.0,0.45,0.9,12,6
2019,02/05,13.111135964281400,Toledo,30.0,0.45,0.9,12,6
2019,03/05,12.545770993653400,Toledo,30.0,0.45,0.9,12,6
2020,01/05,13.445964282861300,Toledo,30.0,0.45,0.9,12,6
2020,02/05,12.639578343053800,Toledo,30.0,0.45,0.9,12,6
2020,03/05,11.868931061244900,Toledo,30.0,0.45,0.9,12,6
2021,01/05,13.496447529204000,Toledo,30.0,0.45,0.9,12,6
2021,02/05,13.257807650827700,Toledo,30.0,0.45,0.9,12,6
2021,03/05,12.161415780773100,Toledo,30.0,0.45,0.9,12,6
2022,01/05,13.272812724095100,Toledo,30.0,0.45,0.9,12,6
2022,02/05,11.796999500965900,Toledo,30.0,0.45,0.9,12,6
2022,03/05,8.282287616930710,Toledo,30.0,0.45,0.9,12,6
2023,01/05,13.428826634418500,Toledo,30.0,0.45,0.9,12,6
2023,02/05,13.161102567093200,Toledo,30.0,0.45,0.9,12,6
2023,03/05,1.222288885717170,Toledo,30.0,0.45,0.9,12,6
2024,01/05,13.639270127359300,Toledo,30.0,0.45,0.9,12,6
2024,02/05,12.996886672056000,Toledo,30.0,0.45,0.9,12,6
2024,03/05,12.602443260469400,Toledo,30.0,0.45,0.9,12,6
2015,01/05,13.251804094219200,Cascavel,30.0,0.45,0.9,12,7
2015,02/05,12.927199231307700,Cascavel,30.0,0.45,0.9,12,7
2015,03/05,11.852171679380400,Cascavel,30.0,0.45,0.9,12,7
2016,01/05,12.647441042350000,Cascavel,30.0,0.45,0.9,12,7
2016,02/05,1.094400758975970,Cascavel,30.0,0.45,0.9,12,7
2016,03/05,8.934751884466650,Cascavel,30.0,0.45,0.9,12,7
2017,01/05,12.997004032043700,Cascavel,30.0,0.45,0.9,12,7
2017,02/05,1.243175170465150,Cascavel,30.0,0.45,0.9,12,7
2017,03/05,11.250668359409400,Cascavel,30.0,0.45,0.9,12,7
2018,01/05,13.397900373240800,Cascavel,30.0,0.45,0.9,12,7
2018,02/05,12.231872714583800,Cascavel,30.0,0.45,0.9,12,7
2018,03/05,10.950885914076700,Cascavel,30.0,0.45,0.9,12,7
2019,01/05,13.443221196321700,Cascavel,30.0,0.45,0.9,12,7
2019,02/05,12.902499801225800,Cascavel,30.0,0.45,0.9,12,7
2019,03/05,12.147353579527100,Cascavel,30.0,0.45,0.9,12,7
2020,01/05,13.156546848747800,Cascavel,30.0,0.45,0.9,12,7
2020,02/05,11.887657539479300,Cascavel,30.0,0.45,0.9,12,7
2020,03/05,10.868431826813800,Cascavel,30.0,0.45,0.9,12,7
2021,01/05,13.435584844705900,Cascavel,30.0,0.45,0.9,12,7
2021,02/05,12.843906645149700,Cascavel,30.0,0.45,0.9,12,7
2021,03/05,11.443261997307100,Cascavel,30.0,0.45,0.9,12,7
2022,01/05,1.317291842862670,Cascavel,30.0,0.45,0.9,12,7
2022,02/05,11.454775482043200,Cascavel,30.0,0.45,0.9,12,7
2022,03/05,7.273843059007940,Cascavel,30.0,0.45,0.9,12,7
2023,01/05,13.271232558752600,Cascavel,30.0,0.45,0.9,12,7
2023,02/05,12.618983208970100,Cascavel,30.0,0.45,0.9,12,7
2023,03/05,1.138827492885330,Cascavel,30.0,0.45,0.9,12,7
2024,01/05,13.535910135008800,Cascavel,30.0,0.45,0.9,12,7
2024,02/05,12.742105712223100,Cascavel,30.0,0.45,0.9,12,7
2024,03/05,1.211890419158000,Cascavel,30.0,0.45,0.9,12,7
