,Year,PlantingDate,YieldFresh_ton_ha,Municipio,WP,HI0,CCx,CGC,CDC
87,2022,02/25,10.438737573531665,São Pedro do Iguaçu,30.0,0.45,0.9,0.012,0.006
88,2023,02/25,12.02451928557114,São Pedro do Iguaçu,30.0,0.45,0.9,0.012,0.006
89,2024,02/25,12.352495126738468,São Pedro do Iguaçu,30.0,0.45,0.9,0.012,0.006
90,2015,02/25,12.556143497311787,Toledo,30.0,0.45,0.9,0.012,0.006
91,2016,02/25,10.211909899458547,Toledo,30.0,0.45,0.9,0.012,0.006
92,2017,02/25,12.044871661600032,Toledo,30.0,0.45,0.9,0.012,0.006
93,2018,02/25,11.931237374320485,Toledo,30.0,0.45,0.9,0.012,0.006
94,2019,02/25,12.885786617678994,Toledo,30.0,0.45,0.9,0.012,0.006
95,2020,02/25,12.284113617982811,Toledo,30.0,0.45,0.9,0.012,0.006
96,2021,02/25,12.649222479517134,Toledo,30.0,0.45,0.9,0.012,0.006
97,2022,02/25,10.912865293735786,Toledo,30.0,0.45,0.9,0.012,0.006
98,2023,02/25,12.34964227513643,Toledo,30.0,0.45,0.9,0.012,0.006
99,2024,02/25,12.795568124760846,Toledo,30.0,0.45,0.9,0.012,0.006
100,2015,02/25,12.254446443161871,Cascavel,30.0,0.45,0.9,0.012,0.007
101,2016,02/25,9.366364643819434,Cascavel,30.0,0.45,0.9,0.012,0.007
102,2017,02/25,11.576679281864179,Cascavel,30.0,0.45,0.9,0.012,0.007
103,2018,02/25,11.18406135118336,Cascavel,30.0,0.45,0.9,0.012,0.007
104,2019,02/25,12.566530298555511,Cascavel,30.0,0.45,0.9,0.012,0.007
105,2020,02/25,11.377110510617506,Cascavel,30.0,0.45,0.9,0.012,0.007
106,2021,02/25,11.996457488091393,Cascavel,30.0,0.45,0.9,0.012,0.007
107,2022,02/25,10.370810507072315,Cascavel,30.0,0.45,0.9,0.012,0.007
108,2023,02/25,11.592297244969117,Cascavel,30.0,0.45,0.9,0.012,0.007
109,2024,02/25,12.461212485852432,Cascavel,30.0,0.45,0.9,0.012,0.007
110,2015,02/25,12.660510992375428,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.007
111,2016,02/25,10.516594485271506,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.007
112,2017,02/25,12.24434586248297,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.007
113,2018,02/25,11.76236731903735,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.007
114,2019,02/25,13.013410756020255,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.007
115,2020,02/25,11.879657295874647,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.007
116,2021,02/25,12.631219550188957,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.007
117,2022,02/25,11.117704594199932,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.007
118,2023,02/25,12.63552120205131,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.007
119,2024,02/25,12.45647756754165,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.007
120,2015,02/25,12.865287511768265,Guaíra,30.0,0.45,0.9,0.012,0.007
121,2016,02/25,10.922684195297572,Guaíra,30.0,0.45,0.9,0.012,0.007
122,2017,02/25,12.449711848879684,Guaíra,30.0,0.45,0.9,0.012,0.007
123,2018,02/25,12.309377434853028,Guaíra,30.0,0.45,0.9,0.012,0.007
124,2019,02/25,13.134244949403133,Guaíra,30.0,0.45,0.9,0.012,0.007
125,2020,02/25,12.596003784793925,Guaíra,30.0,0.45,0.9,0.012,0.007
126,2021,02/25,12.79653037296932,Guaíra,30.0,0.45,0.9,0.012,0.007
127,2022,02/25,11.542121627458624,Guaíra,30.0,0.45,0.9,0.012,0.007
128,2023,02/25,12.6408912159774,Guaíra,30.0,0.45,0.9,0.012,0.007
129,2024,02/25,13.042634693651971,Guaíra,30.0,0.45,0.9,0.012,0.007
130,2015,02/25,12.856334580759512,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.007
131,2016,02/25,11.017889881571465,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.007
132,2017,02/25,12.52433417023636,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.007
133,2018,02/25,12.407658908557718,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.007
134,2019,02/25,13.159862638042188,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.007
135,2020,02/25,12.560159793004166,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.007
136,2021,02/25,12.974844158276934,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.007
137,2022,02/25,11.574479694005488,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.007
138,2023,02/25,12.744470005702942,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.007
139,2024,02/25,12.935900317939655,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.007
140,2015,02/25,12.407465722789961,Matelândia,30.0,0.45,0.9,0.012,0.007
141,2016,02/25,9.887271968862912,Matelândia,30.0,0.45,0.9,0.012,0.007
142,2017,02/25,11.94384149584258,Matelândia,30.0,0.45,0.9,0.012,0.007
143,2018,02/25,11.38359525659409,Matelândia,30.0,0.45,0.9,0.012,0.007
144,2019,02/25,12.803716209946698,Matelândia,30.0,0.45,0.9,0.012,0.007
145,2020,02/25,11.534108939919923,Matelândia,30.0,0.45,0.9,0.012,0.007
146,2021,02/25,12.375201807318136,Matelândia,30.0,0.45,0.9,0.012,0.007
147,2022,02/25,10.712100479719737,Matelândia,30.0,0.45,0.9,0.012,0.007
148,2023,02/25,12.22732558193347,Matelândia,30.0,0.45,0.9,0.012,0.007
149,2024,02/25,12.400899831633794,Matelândia,30.0,0.45,0.9,0.012,0.007
150,2015,02/25,12.660001257303492,Medianeira,30.0,0.45,0.9,0.012,0.007
151,2016,02/25,10.51653747254557,Medianeira,30.0,0.45,0.9,0.012,0.007
