municipio,data_semeadura,isna_medio,isna_desvio,n_anos,freq_evento_adverso,freq_deficit_faseI,freq_deficit_faseIII,freq_frio_floracao,freq_geada,freq_excesso_faseIV,risco_climatico,produtividade_media_kg_ha,produtividade_desvio_kg_ha,classe_produtividade,pct_anos_cobre_custo,margem_media_rs_ha,risco_economico,score_clima,score_produtividade,score_economico,score_integrado,componente_agroclimatico,topsis_score,classe_risco_topsis
Campo Bonito,25/02/,0.7425153588489667,0.0976013787639225,27,0.2962962962962963,0.1481481481481481,0.1851851851851851,0.9629629629629628,0.0,0.4444444444444444,Risco climático 30%,3387.481627007036,373.46340072511623,Alta produtividade prevista,50.0,100.17301096535886,Mais viável,1,0,0,1,1.661502322278936,0.8560745136268851,Baixo risco integrado
Campo Bonito,25/03/,0.7495703859038966,0.1158908910245871,27,0.4074074074074074,0.3333333333333333,0.1111111111111111,1.0,0.1481481481481481,0.5555555555555556,Inapto (risco > 40%),3345.352691654908,338.89440799012374,Alta produtividade prevista,50.0,83.61838097905014,Mais viável,3,0,0,3,1.6273588357554198,0.8289057082728277,Baixo risco integrado
Capitão Leônidas Marques,05/02/,0.7376015574398944,0.1148236618513721,27,0.2962962962962963,0.2222222222222222,0.1481481481481481,0.5185185185185185,0.0,0.4074074074074074,Risco climático 30%,3143.842146541071,648.80518203233,Produtividade prevista intermediária,50.0,20.12281504841671,Viabilidade intermediária,1,1,1,3,0.4952025392217222,0.5601785461316034,Risco integrado intermediário
Capitão Leônidas Marques,05/03/,0.7446292840523315,0.0885818427538142,27,0.3333333333333333,0.2592592592592592,0.1111111111111111,1.0,0.0,0.5555555555555556,Risco climático 40%,3233.240391391845,583.7417607749983,Produtividade prevista intermediária,53.8,68.50189585353696,Mais viável,2,1,0,3,1.0338804250124725,0.7278309476231427,Baixo risco integrado
Capitão Leônidas Marques,15/02/,0.737455018213125,0.094127253314512,27,0.2962962962962963,0.1111111111111111,0.2222222222222222,0.8148148148148148,0.0,0.4074074074074074,Risco climático 30%,3215.8362876411343,636.7319741325757,Produtividade prevista intermediária,50.0,52.40392245667847,Viabilidade intermediária,1,1,1,3,0.8059592862935597,0.6677363228810187,Baixo risco integrado
Capitão Leônidas Marques,15/03/,0.757396610128263,0.0912038283209195,27,0.4814814814814814,0.3703703703703703,0.1111111111111111,1.0,0.037037037037037,0.4814814814814814,Inapto (risco > 40%),3217.1446877987396,557.7882219692509,Produtividade prevista intermediária,50.0,50.401952110634255,Viabilidade intermediária,3,1,1,5,1.2342932056610438,0.7112908578087072,Baixo risco integrado
Capitão Leônidas Marques,25/02/,0.7328525414600455,0.0929130870927183,27,0.2592592592592592,0.2222222222222222,0.1111111111111111,0.9629629629629628,0.0,0.5185185185185185,Risco climático 30%,3274.123132711393,495.59645297472827,Alta produtividade prevista,46.2,78.42436112051051,Mais viável,1,0,0,1,0.9625219150405698,0.7368883761301203,Baixo risco integrado
Capitão Leônidas Marques,25/03/,0.7584358204781867,0.1077519170572786,27,0.5185185185185185,0.4814814814814814,0.074074074074074,1.0,0.1851851851851851,0.5925925925925926,Inapto (risco > 40%),3232.0013596684475,592.9740747047522,Produtividade prevista intermediária,53.8,63.39703085433491,Mais viável,3,1,0,4,1.3210860693433455,0.7509432673256429,Baixo risco integrado
Cascavel,05/02/,0.7693786822379942,0.1016173243603964,27,0.3333333333333333,0.1481481481481481,0.2222222222222222,0.5185185185185185,0.0,0.2962962962962963,Risco climático 40%,3365.0667568560148,355.5049088701428,Alta produtividade prevista,50.0,78.02433717429996,Mais viável,2,0,0,2,2.1331082772532968,0.8720994956395135,Baixo risco integrado
Cascavel,05/03/,0.7469445789893377,0.0963326827484882,27,0.3333333333333333,0.2222222222222222,0.1111111111111111,1.0,0.0,0.5925925925925926,Risco climático 40%,3381.329356439191,397.58208526479,Alta produtividade prevista,50.0,95.86078329479189,Mais viável,2,0,0,2,1.7285513380965325,0.8607415695279435,Baixo risco integrado
Cascavel,15/02/,0.7584233851814239,0.0910195884039641,27,0.2962962962962963,0.037037037037037,0.2592592592592592,0.8518518518518519,0.0,0.3333333333333333,Risco climático 30%,3398.249201356796,397.0108684374167,Alta produtividade prevista,50.0,91.01565727657642,Mais viável,1,0,0,1,2.045589113886707,0.8942698730778467,Baixo risco integrado
Cascavel,15/03/,0.7538578906509842,0.0979898937658732,27,0.3333333333333333,0.2222222222222222,0.1111111111111111,1.0,0.037037037037037,0.5925925925925926,Risco climático 40%,3384.8196955938747,375.99928592485446,Alta produtividade prevista,50.0,95.2303043363631,Mais viável,2,0,0,2,1.8902841534780481,0.8814463587608874,Baixo risco integrado
