municipio,data_semeadura,isna_medio,isna_desvio,n_anos,risco_climatico,pct_anos_cobre_custo,margem_media_rs_ha,risco_economico,score_clima,score_economico,score_combinado
Diamante do Sul,05/02/,0.7865006425967768,0.09866082373188474,27,Baixo risco climático,3.8,-835.8134452514701,Mais viável,0,0,0
Diamante do Sul,05/03/,0.7519850485996757,0.1062485579578874,27,Baixo risco climático,3.8,-831.2301668083679,Mais viável,0,0,0
Diamante do Sul,15/02/,0.7733917255924263,0.09065344997894548,27,Baixo risco climático,3.8,-825.2527468401835,Mais viável,0,0,0
Diamante do Sul,15/03/,0.7553618902848377,0.10463296873282646,27,Baixo risco climático,3.8,-840.9461693418814,Mais viável,0,0,0
Diamante do Sul,25/02/,0.7518248356174089,0.09822140529464003,27,Baixo risco climático,3.8,-829.7111424279445,Mais viável,0,0,0
Diamante do Sul,25/03/,0.7505724164063592,0.11940229684989868,27,Baixo risco climático,3.8,-848.4157168890561,Mais viável,0,0,0
Entre Rios do Oeste,05/02/,0.670608836434018,0.13528879156205637,27,Baixo risco climático,3.8,-975.8189592863454,Menos viável,0,2,2
Entre Rios do Oeste,05/03/,0.6647078922010426,0.12059753427053388,27,Baixo risco climático,3.8,-941.9974691629976,Menos viável,0,2,2
Entre Rios do Oeste,15/02/,0.6742949522972731,0.11876602511135394,27,Baixo risco climático,3.8,-968.7835965893056,Menos viável,0,2,2
Entre Rios do Oeste,15/03/,0.6757579894738112,0.11858765185802093,27,Baixo risco climático,3.8,-981.993166388873,Menos viável,0,2,2
Entre Rios do Oeste,25/02/,0.6600834183685463,0.12027344189104967,27,Baixo risco climático,3.8,-933.2152649688197,Menos viável,0,2,2
Entre Rios do Oeste,25/03/,0.6836398239872663,0.12424870116711874,27,Baixo risco climático,3.8,-955.2078374530977,Menos viável,0,2,2
Formosa do Oeste,05/02/,0.7349893275277244,0.11743090232814267,27,Baixo risco climático,7.7,-885.7174615202828,Viabilidade intermediária,0,1,1
Formosa do Oeste,05/03/,0.6966582932730057,0.11059269609736665,27,Baixo risco climático,7.7,-880.9749729063611,Viabilidade intermediária,0,1,1
Formosa do Oeste,15/02/,0.7205828513635459,0.10276308298092826,27,Baixo risco climático,3.8,-901.062980730857,Viabilidade intermediária,0,1,1
Formosa do Oeste,15/03/,0.7023875524916547,0.10832668474690856,27,Baixo risco climático,7.7,-885.120482711584,Viabilidade intermediária,0,1,1
