municipio,data_semeadura,isna_medio,isna_desvio,n_anos,freq_evento_adverso,freq_deficit_faseI,freq_deficit_faseIII,freq_frio_floracao,freq_geada,freq_excesso_faseIV,risco_climatico,produtividade_media_kg_ha,produtividade_desvio_kg_ha,classe_produtividade,pct_anos_cobre_custo,margem_media_rs_ha,risco_economico,score_clima,score_produtividade,score_economico,score_integrado
Campo Bonito,05/02/,0.7746723245647215,0.1022053621080676,27,0.3333333333333333,0.1481481481481481,0.2222222222222222,0.5185185185185185,0.0,0.2962962962962963,Risco climático 40%,3372.2834230397984,323.78623746117717,Alta produtividade prevista,3.8,-848.4144025156749,Mais viável,2,0,0,2
Campo Bonito,05/03/,0.7482613503434868,0.0988027641994627,27,0.3333333333333333,0.2222222222222222,0.1111111111111111,1.0,0.0,0.5925925925925926,Risco climático 40%,3368.4392508873707,389.12282292501743,Alta produtividade prevista,3.8,-835.0579529842339,Mais viável,2,0,0,2
Campo Bonito,15/02/,0.7630902088812243,0.0928599180021125,27,0.2962962962962963,0.037037037037037,0.2592592592592592,0.8518518518518519,0.0,0.3333333333333333,Risco climático 30%,3401.6684533215575,381.09375991048773,Alta produtividade prevista,7.7,-837.7234184227698,Mais viável,1,0,0,1
Campo Bonito,15/03/,0.7562647320319797,0.1006027511238373,27,0.3333333333333333,0.2222222222222222,0.1111111111111111,1.0,0.037037037037037,0.5555555555555556,Risco climático 40%,3363.924206990642,352.14889147442346,Alta produtividade prevista,7.7,-839.9349150546508,Mais viável,2,0,0,2
Campo Bonito,25/02/,0.7425153588489667,0.0976013787639225,27,0.2962962962962963,0.1481481481481481,0.1851851851851851,0.9629629629629628,0.0,0.4444444444444444,Risco climático 30%,3387.481627007036,373.4634007251163,Alta produtividade prevista,7.7,-829.4191709659111,Mais viável,1,0,0,1
Campo Bonito,25/03/,0.7495703859038966,0.1158908910245871,27,0.4074074074074074,0.3333333333333333,0.1111111111111111,1.0,0.1481481481481481,0.5555555555555556,Inapto (risco > 40%),3345.352691654908,338.8944079901238,Alta produtividade prevista,7.7,-845.9738009522196,Mais viável,3,0,0,3
Capitão Leônidas Marques,05/02/,0.7376015574398944,0.1148236618513721,27,0.2962962962962963,0.2222222222222222,0.1481481481481481,0.5185185185185185,0.0,0.4074074074074074,Risco climático 30%,3143.842146541071,648.80518203233,Produtividade prevista intermediária,7.7,-909.469366882853,Viabilidade intermediária,1,1,1,3
Capitão Leônidas Marques,05/03/,0.7446292840523315,0.0885818427538142,27,0.3333333333333333,0.2592592592592592,0.1111111111111111,1.0,0.0,0.5555555555555556,Risco climático 40%,3233.240391391845,583.7417607749982,Produtividade prevista intermediária,3.8,-861.090286077733,Mais viável,2,1,0,3
Capitão Leônidas Marques,15/02/,0.737455018213125,0.094127253314512,27,0.2962962962962963,0.1111111111111111,0.2222222222222222,0.8148148148148148,0.0,0.4074074074074074,Risco climático 30%,3215.8362876411343,636.7319741325756,Produtividade prevista intermediária,7.7,-877.1882594745911,Viabilidade intermediária,1,1,1,3
Capitão Leônidas Marques,15/03/,0.757396610128263,0.0912038283209195,27,0.4814814814814814,0.3703703703703703,0.1111111111111111,1.0,0.037037037037037,0.4814814814814814,Inapto (risco > 40%),3217.1446877987396,557.7882219692509,Produtividade prevista intermediária,7.7,-879.1902298206353,Viabilidade intermediária,3,1,1,5
Capitão Leônidas Marques,25/02/,0.7328525414600455,0.0929130870927183,27,0.2592592592592592,0.2222222222222222,0.1111111111111111,0.9629629629629628,0.0,0.5185185185185185,Risco climático 30%,3274.123132711393,495.59645297472787,Alta produtividade prevista,7.7,-851.1678208107589,Mais viável,1,0,0,1
Capitão Leônidas Marques,25/03/,0.7584358204781867,0.1077519170572786,27,0.5185185185185185,0.4814814814814814,0.074074074074074,1.0,0.1851851851851851,0.5925925925925926,Inapto (risco > 40%),3232.0013596684475,592.9740747047522,Produtividade prevista intermediária,7.7,-866.1951510769347,Mais viável,3,1,0,4
Cascavel,05/02/,0.7693786822379942,0.1016173243603964,27,0.3333333333333333,0.1481481481481481,0.2222222222222222,0.5185185185185185,0.0,0.2962962962962963,Risco climático 40%,3365.0667568560148,355.5049088701428,Alta produtividade prevista,3.8,-851.5678447569699,Mais viável,2,0,0,2
Cascavel,05/03/,0.7469445789893377,0.0963326827484882,27,0.3333333333333333,0.2222222222222222,0.1111111111111111,1.0,0.0,0.5925925925925926,Risco climático 40%,3381.329356439191,397.58208526479,Alta produtividade prevista,3.8,-833.7313986364776,Mais viável,2,0,0,2
Cascavel,15/02/,0.7584233851814239,0.0910195884039641,27,0.2962962962962963,0.037037037037037,0.2592592592592592,0.8518518518518519,0.0,0.3333333333333333,Risco climático 30%,3398.249201356796,397.0108684374167,Alta produtividade prevista,7.7,-838.576524654693,Mais viável,1,0,0,1
