municipio,data_semeadura,n_anos,pct_anos_cobre_custo,margem_media_rs_ha,risco_economico
Missal,15/03/,26,46.2,-55.339467018547936,Menos viável
Missal,25/02/,26,46.2,-30.198704505472172,Menos viável
Missal,25/03/,26,42.3,-27.53413597742008,Menos viável
Nova Aurora,05/02/,26,50.0,47.68953925687163,Viabilidade intermediária
Nova Aurora,05/03/,26,50.0,54.659394611650825,Viabilidade intermediária
Nova Aurora,15/02/,26,50.0,33.89158498905521,Viabilidade intermediária
Nova Aurora,15/03/,26,50.0,51.32703758417253,Viabilidade intermediária
Nova Aurora,25/02/,26,50.0,50.24382001785388,Viabilidade intermediária
Nova Aurora,25/03/,26,50.0,44.98587902614817,Viabilidade intermediária
Nova Santa Rosa,05/02/,26,50.0,21.817800778704388,Viabilidade intermediária
Nova Santa Rosa,05/03/,26,50.0,26.942646799501606,Viabilidade intermediária
Nova Santa Rosa,15/02/,26,46.2,-8.213262523051245,Menos viável
Nova Santa Rosa,15/03/,26,46.2,9.815677796026726,Menos viável
Nova Santa Rosa,25/02/,26,46.2,23.675836182226774,Viabilidade intermediária
Nova Santa Rosa,25/03/,26,50.0,18.39539333561818,Viabilidade intermediária
Ouro Verde do Oeste,05/02/,26,50.0,33.296370478861064,Viabilidade intermediária
Ouro Verde do Oeste,05/03/,26,50.0,74.54658811215096,Mais viável
Ouro Verde do Oeste,15/02/,26,50.0,37.93515192879939,Viabilidade intermediária
Ouro Verde do Oeste,15/03/,26,46.2,54.62278108430307,Viabilidade intermediária
Ouro Verde do Oeste,25/02/,26,50.0,64.07258672207851,Mais viável
Ouro Verde do Oeste,25/03/,26,50.0,45.58764874285277,Viabilidade intermediária
Palotina,05/02/,26,50.0,18.39079993758765,Menos viável
Palotina,05/03/,26,50.0,20.894322412575775,Viabilidade intermediária
Palotina,15/02/,26,46.2,-11.972332039482598,Menos viável
Palotina,15/03/,26,46.2,4.999837102697527,Menos viável
Palotina,25/02/,26,46.2,20.317605940857938,Viabilidade intermediária
Palotina,25/03/,26,50.0,13.524717386554759,Menos viável
Pato Bragado,05/02/,26,46.2,-47.47652599308605,Menos viável
Pato Bragado,05/03/,26,50.0,-10.985083330533406,Menos viável
Pato Bragado,15/02/,26,46.2,-40.405193618264704,Menos viável
Pato Bragado,15/03/,26,42.3,-49.971259990524864,Menos viável
Pato Bragado,25/02/,26,46.2,-3.705614270657485,Menos viável
Pato Bragado,25/03/,26,42.3,-24.970936433619194,Menos viável
Quatro Pontes,05/02/,26,50.0,24.703156633896704,Viabilidade intermediária
Quatro Pontes,05/03/,26,50.0,33.68814570924717,Viabilidade intermediária
Quatro Pontes,15/02/,26,46.2,-3.0231581657384803,Menos viável
Quatro Pontes,15/03/,26,46.2,15.334839849369342,Menos viável
Quatro Pontes,25/02/,26,46.2,27.454323103808125,Viabilidade intermediária
Quatro Pontes,25/03/,26,50.0,22.010571576856712,Viabilidade intermediária
Ramilândia,05/02/,26,42.3,-56.982549648787966,Menos viável
Ramilândia,05/03/,26,46.2,-18.871381795372233,Menos viável
Ramilândia,15/02/,26,46.2,-40.5058372984461,Menos viável
Ramilândia,15/03/,26,46.2,-48.868458242182484,Menos viável
Ramilândia,25/02/,26,46.2,-25.711326688684213,Menos viável
Ramilândia,25/03/,26,42.3,-23.652433000074325,Menos viável
Santa Helena,05/02/,26,42.3,-67.91756949359252,Menos viável
Santa Helena,05/03/,26,46.2,-28.946065799813045,Menos viável
Santa Helena,15/02/,26,46.2,-49.35846764772262,Menos viável
Santa Helena,15/03/,26,46.2,-61.37305539681688,Menos viável
Santa Helena,25/02/,26,46.2,-38.09555937925947,Menos viável
Santa Helena,25/03/,26,42.3,-32.76743433854005,Menos viável
Santa Lúcia,05/02/,26,50.0,22.311982754894714,Viabilidade intermediária
Santa Lúcia,05/03/,26,53.8,71.07810365506387,Mais viável
Santa Lúcia,15/02/,26,50.0,55.66741118254369,Mais viável
Santa Lúcia,15/03/,26,50.0,53.26148025798765,Viabilidade intermediária
Santa Lúcia,25/02/,26,46.2,79.7879781661994,Mais viável
Santa Lúcia,25/03/,26,53.8,65.81742605065457,Mais viável
Santa Tereza do Oeste,05/02/,26,50.0,35.89295514907371,Viabilidade intermediária
Santa Tereza do Oeste,05/03/,26,50.0,78.43738762745674,Mais viável
Santa Tereza do Oeste,15/02/,26,50.0,40.694633890413826,Viabilidade intermediária
Santa Tereza do Oeste,15/03/,26,46.2,61.38026265692479,Mais viável
Santa Tereza do Oeste,25/02/,26,50.0,69.23635283613275,Mais viável
Santa Tereza do Oeste,25/03/,26,50.0,56.93738638457774,Mais viável
Santa Terezinha de Itaipu,05/02/,26,42.3,-33.32739570814817,Menos viável
Santa Terezinha de Itaipu,05/03/,26,46.2,41.87470165365751,Viabilidade intermediária
Santa Terezinha de Itaipu,15/02/,26,46.2,8.675478602411257,Menos viável
Santa Terezinha de Itaipu,15/03/,26,46.2,5.949478186485749,Menos viável
Santa Terezinha de Itaipu,25/02/,26,46.2,36.65917388240819,Viabilidade intermediária
Santa Terezinha de Itaipu,25/03/,26,46.2,25.010187010955903,Viabilidade intermediária
Serranópolis do Iguaçu,05/02/,26,50.0,18.340552928017402,Menos viável
Serranópolis do Iguaçu,05/03/,26,53.8,65.65905002878904,Mais viável
Serranópolis do Iguaçu,15/02/,26,50.0,51.730451996619536,Viabilidade intermediária
Serranópolis do Iguaçu,15/03/,26,46.2,46.99502502544174,Viabilidade intermediária
Serranópolis do Iguaçu,25/02/,26,46.2,77.1812046098437,Mais viável
Serranópolis do Iguaçu,25/03/,26,53.8,62.031377002805655,Mais viável
São José das Palmeiras,05/02/,26,42.3,-58.37544986517756,Menos viável
São José das Palmeiras,05/03/,26,46.2,-23.153787291664457,Menos viável
São José das Palmeiras,15/02/,26,46.2,-38.66288456494721,Menos viável
São José das Palmeiras,15/03/,26,46.2,-55.42486556673745,Menos viável
São José das Palmeiras,25/02/,26,46.2,-31.18112754114641,Menos viável
São José das Palmeiras,25/03/,26,42.3,-26.675376348777018,Menos viável
São Miguel do Iguaçu,05/02/,26,42.3,-35.298478711869436,Menos viável
São Miguel do Iguaçu,05/03/,26,46.2,32.51979151760652,Viabilidade intermediária
São Miguel do Iguaçu,15/02/,26,46.2,3.17723741922303,Menos viável
São Miguel do Iguaçu,15/03/,26,46.2,-6.447728930849087,Menos viável
São Miguel do Iguaçu,25/02/,26,46.2,22.659223307352985,Viabilidade intermediária
São Miguel do Iguaçu,25/03/,26,46.2,19.65945645232347,Viabilidade intermediária
São Pedro do Iguaçu,05/02/,26,50.0,34.21026243771617,Viabilidade intermediária
São Pedro do Iguaçu,05/03/,26,50.0,75.68692136248495,Mais viável
São Pedro do Iguaçu,15/02/,26,50.0,39.18743500275002,Viabilidade intermediária
São Pedro do Iguaçu,15/03/,26,46.2,55.9133487071939,Mais viável
São Pedro do Iguaçu,25/02/,26,50.0,65.30307933576087,Mais viável
São Pedro do Iguaçu,25/03/,26,50.0,47.24501086129828,Viabilidade intermediária
Terra Roxa,05/02/,26,46.2,-14.850967392402971,Menos viável
Terra Roxa,05/03/,26,50.0,-3.2941364297766644,Menos viável
Terra Roxa,15/02/,26,50.0,-24.196255018971836,Menos viável
Terra Roxa,15/03/,26,42.3,-21.32407126946164,Menos viável
Terra Roxa,25/02/,26,50.0,0.6745420962344741,Menos viável
Terra Roxa,25/03/,26,46.2,4.59572984715195,Menos viável
Toledo,05/02/,26,50.0,26.255232423705863,Viabilidade intermediária
Toledo,05/03/,26,50.0,38.30057304673402,Viabilidade intermediária
Toledo,15/02/,26,50.0,-0.8806742260793237,Menos viável
Toledo,15/03/,26,46.2,16.6970354830545,Menos viável
Toledo,25/02/,26,50.0,33.592096902356836,Viabilidade intermediária
Toledo,25/03/,26,50.0,24.430703595499374,Viabilidade intermediária
Três Barras do Paraná,05/02/,26,50.0,58.24542870901189,Mais viável
Três Barras do Paraná,05/03/,26,50.0,90.39218246738574,Mais viável
Três Barras do Paraná,15/02/,26,50.0,91.98395400718283,Mais viável
Três Barras do Paraná,15/03/,26,50.0,82.93080024511318,Mais viável
Três Barras do Paraná,25/02/,26,50.0,95.13864418510038,Mais viável
