Municipio,Ano,DOY_semeadura,DOY_maturacao,rep,Tmin_F1,Tmin_F2,Tmin_F3,Tmin_F4,Tmax_F1,Tmax_F2,Tmax_F3,Tmax_F4,Tmed_F1,Tmed_F2,Tmed_F3,Tmed_F4,Chuva_F1,Chuva_F2,Chuva_F3,Chuva_F4,UR_F1,UR_F2,UR_F3,UR_F4,ETc_F1,ETc_F2,ETc_F3,ETc_F4,ETR_F1,ETR_F2,ETR_F3,ETR_F4,ARM_F1,ARM_F2,ARM_F3,ARM_F4,DEF_F1,DEF_F2,DEF_F3,DEF_F4,EXC_F1,EXC_F2,EXC_F3,EXC_F4,ISNA_F1,ISNA_F2,ISNA_F3,ISNA_F4,PA_F1,PA_F2,PA_F3,PA_F4,Amp_F1,Amp_F2,Amp_F3,Amp_F4,Pefetiva_F1,Pefetiva_F2,Pefetiva_F3,Pefetiva_F4,Latitude_F1,Longitude_F1,Altitude_F1,T_DEF_F1,T_DEF_F2,T_DEF_F3,T_DEF_F4,lat_lon_F1,ISNA_zarc_I_F1,ISNA_zarc_III_F1,ISNA_zarc_IV_F1,TmedMin_zarc_III_F1,TminMin_zarc_I_III_F1
Diamante D'Oeste,2003,36,135,0,23.82294117647059,23.903214285714284,18.914242424242424,16.67818181818182,29.03058823529412,29.119285714285716,27.002424242424244,25.255,26.426764705882352,26.511249999999997,22.958333333333332,20.966590909090908,155.8,133.10999999999999,120.92999999999999,40.22,81.18176470588234,77.66178571428573,71.47727272727273,75.58045454545454,20.284722147149804,90.34496392211545,149.60171856530587,58.39085676069302,20.062772615978634,78.05385845756169,108.29235885647164,45.450890141639505,25.383555555555546,52.32660221902674,41.83351503120576,36.60262488956626,0.2219495311711699,12.29110546455376,41.309359708834236,12.939966619053516,117.31867182846581,28.11309487896711,23.130728331349324,0.0,0.9890582907884515,0.8639536180992926,0.7238710884808359,0.7783905334342635,10129.259853333471,8062.186121766308,6949.084782632187,6641.088188272348,5.207647058823529,5.216071428571432,8.08818181818182,8.57681818181818,7.680657337566312,1.4733527384520446,0.8083463289040375,0.688806471274025,-24.954209927107904,-54.10033095303145,369.0,6.44332544844681,357.90821176675945,1115.452856040849,326.79885696419655,1350.0310157279605,0.9910103551571019,0.7184355558713114,0.7817790734806351,16.74,12.02
Diamante D'Oeste,2003,46,145,0,24.19529411764706,22.525357142857143,18.75121212121212,15.25,29.573529411764707,28.553214285714287,26.91060606060606,23.798636363636366,26.88441176470588,25.539285714285715,22.83090909090909,19.524318181818185,83.39,90.3,154.39,30.32,79.02941176470588,75.46678571428572,73.56515151515151,73.97454545454546,23.216286173113346,89.39871536179666,136.40120566235723,52.29332450985972,21.81461215192329,62.70379289548923,103.63191080546699,36.045775192189545,25.383555555555546,17.37070133927497,46.876811561541146,41.1510363693516,1.4016740211900551,26.69492246630743,32.769294856890255,16.247549317670174,44.24027673696561,35.60906132079134,21.251978972266834,0.0,0.9396253987076828,0.7013947867340926,0.7597580263476101,0.6892997438973925,9191.967059999957,5074.813133573232,4465.221572009881,4187.75247481421,5.378235294117648,6.027857142857144,8.15939393939394,8.548636363636366,3.591875090537672,1.0100816285173209,1.1318814907118313,0.5798063191465914,-24.954209927107904,-54.10033095303145,369.0,41.4524478913706,762.2258415210046,881.8415847776179,386.66951801148065,1350.0310157279605,0.9503103416454487,0.7949458914265823,0.6578606049961415,16.74,12.02
Diamante D'Oeste,2003,56,155,0,24.62764705882353,21.156785714285714,16.545454545454547,15.348636363636365,29.651764705882353,28.323571428571427,25.067272727272726,24.367727272727276,27.139705882352942,24.740178571428572,20.80636363636364,19.85818181818182,70.4,114.0,87.53,51.25,76.92411764705882,71.9975,74.94272727272728,73.76409090909091,23.106537627106892,84.95627502958183,123.6005814235482,51.12903286390321,19.67349190808564,58.663930274559384,95.24657566464892,29.917856198130245,22.189143719639866,55.71999999999998,29.86088872178225,51.193032523652,3.433045719021254,26.29234475502244,28.35400575889929,21.211176665772967,34.430774589361036,21.805213445080497,18.14253561356881,0.0,0.8514253509364441,0.6905190964897246,0.7705997380243931,0.5851441836923943,8150.394222582145,4366.807170627669,3865.9338161581954,3545.1727903394985,5.024117647058823,7.166785714285712,8.52181818181818,9.019090909090911,3.046756772308972,1.3418667421600714,0.7081681897600193,1.0023659187221237,-24.954209927107904,-54.10033095303145,369.0,101.79586388495493,744.6931046935034,710.75759526899,516.8681681251924,1350.0310157279605,0.8511239493190801,0.7439139494596744,0.5958027065693898,14.23,9.84
Diamante D'Oeste,2003,64,163,0,23.293529411764705,19.167499999999997,17.124848484848485,14.99409090909091,28.303529411764703,27.4375,25.384242424242426,22.961363636363636,25.798529411764704,23.302500000000002,21.254545454545454,18.97772727272727,88.22999999999999,116.50999999999999,44.910000000000004,102.91,78.66705882352942,70.08714285714287,76.31333333333333,77.985,19.90279828214234,81.33654299592055,115.32480003109197,43.1019056647546,17.564737698487203,57.143841508396605,79.63164739189591,31.531453715389816,24.928358987055766,55.71999999999998,18.64249701879203,54.444265536105284,2.3380605836551327,24.19270148752394,35.69315263919606,11.570451949364779,52.70190331445703,28.57451747865918,2.355855589312034,35.57677776729693,0.8825260372681892,0.7025604900771683,0.6904988985060189,0.7315559075424778,7792.667540906467,4315.8967193683,3648.0093250789255,3452.1520145694476,5.009999999999998,8.270000000000003,8.259393939393942,7.967272727272727,4.433044979366736,1.432443471390757,0.3894218761956848,2.387597448716794,-24.954209927107904,-54.10033095303145,369.0,66.17536649597079,663.7872470639381,906.0436394788411,265.6733546464372,1350.0310157279605,0.87317641536472,0.6744999149680919,0.6884689268374775,14.23,9.84
Diamante D'Oeste,2003,74,173,0,21.575294117647058,18.706071428571427,15.270000000000001,16.565,28.445882352941176,26.905357142857145,24.25030303030303,23.553181818181816,25.01058823529412,22.805714285714284,19.760151515151517,20.05909090909091,41.07,121.81,62.900000000000006,82.15,73.77058823529413,73.33,72.98727272727272,83.36272727272727,21.532142871675344,73.68591208440891,108.2338664942828,36.83712360746548,13.12348703006934,53.24283944561778,65.79824550223532,32.623319571453784,7.588993841519597,24.8535958811637,21.95535037892838,42.71491119970721,8.408655841606004,20.443072638791136,42.435620992047475,4.213804036011695,26.42797765705632,51.30255851473811,0.0,28.76711960776738,0.6094835571304309,0.722564706597197,0.6079265911258097,0.8856098516020477,6367.137854251292,3717.4347161558408,2988.6810654406013,2920.3059313226213,6.870588235294118,8.199285714285718,8.980303030303029,6.988181818181815,1.907380990585285,1.6530975400082426,0.5811489697018498,2.2300872585869147,-24.954209927107904,-54.10033095303145,369.0,239.19163481669597,550.0281704440466,1029.0766683362397,99.2484926063718,1350.0310157279605,0.5907152738522119,0.5795697989169936,0.9260562212787631,14.23,9.84
Diamante D'Oeste,2003,84,183,0,20.85705882352941,17.137142857142855,15.206363636363637,15.863181818181818,28.59941176470588,25.28357142857143,23.82242424242424,24.82409090909091,24.728235294117646,21.21035714285714,19.51439393939394,20.343636363636364,73.42,87.53,97.69,8.709999999999999,69.02882352941177,74.60642857142857,77.07060606060605,77.37954545454545,20.422602277658974,66.14713461729983,93.86826500493854,44.92261842428017,11.16037531515529,50.01260223769313,55.07544126005404,33.25866041176255,25.383555555555546,35.63853091987409,51.76346861914298,27.214808207380425,9.262226962503686,16.1345323796067,38.79282374488449,11.663958012517615,42.98981441583187,27.262422397988328,26.489621040677076,0.0,0.5464717553337476,0.7560811594794774,0.586731215892362,0.7403544490137427,5793.219022169446,3673.606122015936,2914.5127543479857,2763.1647003561543,7.74235294117647,8.146428571428576,8.616060606060604,8.960909090909091,3.595036469976052,1.3232621565002423,1.0407138130747424,0.1938889651920277,-24.954209927107904,-54.10033095303145,369.0,264.8942427588039,407.93860188638456,924.139104812227,289.54715406255656,1350.0310157279605,0.5999305476022118,0.6161049751213729,0.7111072029441917,14.385,9.84
Diamante D'Oeste,2004,36,135,0,22.65529411764706,23.777142857142856,22.612121212121213,17.03,32.12529411764706,33.31357142857143,31.358181818181816,23.217727272727274,27.39029411764706,28.545357142857142,26.985151515151514,20.123863636363637,33.78,67.89,81.45,241.46,58.2135294117647,55.08642857142858,60.77060606060606,81.69590909090908,30.340203152112526,115.69755600114425,178.06743733233662,43.08411214939599,18.838525208921226,65.07112323179065,70.07599112975657,40.822421185707135,14.72933023757405,17.548207005783404,28.922215876026826,55.50712204125533,11.501677943191298,50.626432769353606,107.99144620258005,2.261690963688858,8.260588997949167,0.0,0.0,174.05267264906436,0.6209096595191893,0.5624243543324898,0.39353624772490015,0.9475052205823263,9242.024388721624,3175.897204967013,2212.8639370848646,2189.6311762331457,9.469999999999999,9.536428571428573,8.746060606060603,6.1877272727272725,1.113374219369654,0.5867885402810805,0.45741097429276517,5.604386117154444,-24.954209927107904,-54.10033095303145,369.0,369.4947867714743,1686.5472842356305,3386.4154048289056,52.511323970119626,1350.0310157279605,0.6065323377019227,0.4490743933593131,0.9392565309537881,22.06,18.81
Diamante D'Oeste,2004,46,145,0,22.8,22.83642857142857,21.86030303030303,15.254545454545456,33.415294117647065,32.581785714285715,29.290000000000003,20.498181818181816,28.107647058823527,27.709107142857142,25.575151515151514,17.87636363636364,28.67,52.07,153.99,246.83,50.71823529411765,55.94392857142857,69.33212121212121,83.44863636363635,31.73295930225351,112.46060960803221,144.85742716436513,32.903052644615144,21.855360809313673,53.61576053605501,87.70927779729678,31.873257713691732,12.507073586611623,6.84389982566049,54.42141255319227,55.720000000000006,9.877598492939835,58.844849071977215,57.14814936706835,1.0297949309234147,0.0,4.117413224896127,18.70320947517144,213.65815483950053,0.6887274710544132,0.47675146633942517,0.6054869226537888,0.9687021462097698,8790.067377849542,1890.9825784934026,1517.9739003686498,1508.4720353304251,10.615294117647064,9.745357142857145,7.429696969696973,5.2436363636363605,0.9034770355616978,0.4630065600878713,1.0630452508677546,7.501735558277927,-24.954209927107904,-54.10033095303145,369.0,330.062858817612,1917.2702628526463,1673.8692949614322,21.10892372951014,1350.0310157279605,0.6883056200451416,0.6412734123942883,0.9645814681216128,19.335,15.32
Diamante D'Oeste,2004,56,155,0,24.58823529411765,22.861785714285713,19.271515151515153,13.842727272727274,34.031176470588235,32.098571428571425,26.12181818181818,19.092727272727274,29.30970588235294,27.480178571428574,22.696666666666665,16.467727272727274,51.32,62.85,236.41,147.56,54.188235294117646,56.78642857142857,76.3669696969697,83.19863636363635,28.752309520689394,103.98726959374457,113.97151581600679,30.38243561623299,19.133931746891488,52.95915605131471,79.5452132119058,29.09049115031012,25.383555555555546,25.49091052214133,55.720000000000006,53.17084228487681,9.618377773797908,51.02811354242987,34.426302604100975,1.2919444659228705,12.546120197080182,9.78348898209951,126.63569731023551,121.01866656481307,0.6654746024183978,0.509284994771134,0.6979394161987098,0.9574772581684466,7996.352711353281,2110.4573175079076,1791.714332800836,1776.4766115989194,9.442941176470587,9.236785714285713,6.850303030303028,5.25,1.784900095175711,0.604400906433462,2.0742902145976134,4.856753482961727,-24.954209927107904,-54.10033095303145,369.0,327.3247113809002,1637.9295474069381,899.2776172965795,24.666743339374662,1350.0310157279605,0.7065073569143412,0.8157365320171769,0.9528506918982571,16.445,13.88
Diamante D'Oeste,2004,65,164,0,23.980588235294118,22.806071428571425,16.71060606060606,13.600454545454545,32.765882352941176,31.81714285714286,22.85878787878788,19.293636363636363,28.373235294117645,27.311607142857145,19.78469696969697,16.447045454545453,46.27,57.989999999999995,288.26,116.49,59.481764705882355,58.70357142857143,79.87,84.04954545454545,26.110121769357768,96.01675431309829,87.0423355490111,29.437730911118514,17.861050003992485,49.444766474407295,78.28801483695561,27.887062056777832,11.092042255163843,19.63727578075654,55.720000000000006,54.430914646531,8.249071765365283,46.571987838690994,8.754320712055492,1.5506688543406821,22.841975673025672,0.0,173.88926094380093,89.89202329669118,0.6840661319685533,0.5149597778859955,0.8994245655652682,0.9473237642186952,7364.340270794788,2006.3384097906699,1905.444231196777,1885.3699052786474,8.785294117647059,9.011071428571434,6.148181818181818,5.693181818181818,1.7721096978682573,0.6039570949347243,3.3117217981552076,3.9571664117631493,-24.954209927107904,-54.10033095303145,369.0,270.28811498492763,1481.7875902047513,200.11316017975577,29.918040996065724,1350.0310157279605,0.6245462468588943,0.9343594550779456,0.9424665525660306,13.835,11.13
Diamante D'Oeste,2004,75,174,0,21.43764705882353,22.59714285714286,14.91939393939394,13.04681818181818,32.33,29.823214285714283,20.491212121212122,20.159545454545455,26.883823529411764,26.21017857142857,17.70530303030303,16.603181818181817,1.5,114.88,314.5,33.35,51.62529411764706,68.10249999999999,83.17242424242424,83.74818181818182,28.00755176922551,77.64568456688018,67.91641838434926,33.299973918375834,5.971085153832055,59.35488140552262,64.24201848112126,28.8617186256791,1.1823136744027247,40.05141851352794,49.65996329137457,42.31213774853938,22.036466615393458,18.290803161357555,3.674399903228001,4.438255292696738,0.0,16.656013755352163,240.64943674103213,11.836106917156087,0.21319554108235328,0.7644324566988296,0.9458982085534308,0.8667189558894043,5127.888155181496,3315.9421326225824,3226.242927768563,3140.2435225750787,10.892352941176469,7.226071428571423,5.571818181818182,7.112727272727275,0.05355698392917687,1.4795413375620123,4.630691775001989,1.0015022859100968,-24.954209927107904,-54.10033095303145,369.0,712.4389656756705,545.4905421389866,75.29290783520626,89.47320931199683,1350.0310157279605,0.2739777873976914,0.954260602415125,0.8590509572066386,13.08,10.48
Diamante D'Oeste,2004,85,184,0,23.276470588235295,19.63,14.004242424242424,14.866363636363637,32.24058823529412,26.440714285714286,19.791515151515153,21.414545454545454,27.758529411764705,23.035357142857144,16.89787878787879,18.140454545454546,47.11,195.49,213.17000000000002,85.57,55.97117647058823,75.90857142857143,82.97606060606061,86.46181818181819,24.210610338484504,55.99956262604427,65.03836774851705,33.23649389310811,13.995890934188369,48.00816175512709,59.28883263421031,29.158364418217637,19.414418206266987,50.9883780011139,55.720000000000006,53.39546717287832,10.214719404296135,7.991400870917183,5.749535114306735,4.078129474890476,19.409901779375463,115.90787845002599,149.1495453669036,58.73616840890405,0.5780891410218144,0.8572952984600537,0.9115977950655468,0.8772996487533812,5833.63654342926,4584.905500695365,4382.247622856578,4274.706958341746,8.964117647058824,6.810714285714287,5.787272727272729,6.548181818181817,1.9458410730404128,3.490920122098981,3.2776037803448803,2.5745796254924382,-24.954209927107904,-54.10033095303145,369.0,329.32856225298053,211.29834717052955,113.79201132897015,87.33128900956368,1350.0310157279605,0.5891640110442146,0.9135057291507255,0.8625446573959968,10.975,8.68
Diamante D'Oeste,2005,36,135,0,25.01294117647059,24.847857142857144,23.624848484848485,17.5,34.618235294117646,34.527499999999996,32.48121212121212,26.063636363636363,29.81558823529412,29.68767857142857,28.053030303030305,21.78181818181818,3.33,22.439999999999998,100.44,91.33,46.936470588235295,51.44392857142857,62.52545454545455,73.19454545454545,34.006088126349056,123.67415041307657,174.61852652774152,52.344946882698146,7.381496251856808,23.31278548971682,67.58413247439887,46.97427880738807,1.538134992786511,0.665349503069691,33.52121702867082,55.720000000000006,26.624591874492246,100.36136492335976,107.03439405334265,5.37066807531008,0.0,0.0,0.0,22.156938221282743,0.21706396291249322,0.18850168294547553,0.38703872846883647,0.8973985380605043,7826.096891791539,-1700.19979340018,-1179.121479790382,-1154.925562264231,9.605294117647055,9.679642857142852,8.856363636363632,8.563636363636363,0.09792364201455458,0.18144454540459348,0.575196698753744,1.7447720446572426,-24.954209927107904,-54.10033095303145,369.0,921.6963861210254,3465.2270273913036,3476.6068575120275,139.97913974467272,1350.0310157279605,0.26915770385042126,0.41952708067388966,0.8881061852470564,19.09,14.09
