Fase,Tmin,Tmax,Tmed,Chuva,UR,ETc,ETR,ARM,DEF,EXC,N,PP,Data semeadura,Data maturação,ISNA,PA,Municipio,Ano
2,19.612142857142857,27.443928571428568,23.528035714285714,177.51,80.06642857142857,60.39217352900463,47.292367240508504,45.31999999999998,13.099806288496127,101.88684540812241,11.19543545185111,2304.599891441541,2007-03-25,2007-07-02,0.7830876830057347,3721.7700929044927,Mercedes,2007
3,12.934848484848485,20.453030303030303,16.69393939393939,92.41,80.82515151515152,72.44923653660946,56.87112547254277,20.632260831984947,15.578111064066693,60.22661369547227,10.672488174940948,1313.6514277259935,2007-03-25,2007-07-02,0.7849789478982999,3321.6406323760098,Mercedes,2007
4,14.051363636363636,23.508636363636366,18.78,0.82,76.15772727272727,39.61828397310803,12.687321312024297,8.76493951996065,26.930962661083733,0.0,10.49516704424222,1130.0622782491869,2007-03-25,2007-07-02,0.32023904217144183,2870.056308810775,Mercedes,2007
1,23.41470588235294,33.10764705882353,28.261176470588236,38.9,62.21764705882353,26.996719317102066,17.098574101460454,8.689672796653394,9.898145215641614,17.419923167023597,12.840299303190928,2189.421043563923,2008-02-05,2008-05-14,0.6333574795004344,8606.008395303716,Mercedes,2008
2,22.325357142857143,30.59107142857143,26.458214285714288,110.89,68.45214285714286,95.88964711868196,69.08354209228406,16.301339690891698,26.80610502639789,34.19479101347763,12.32613620834709,3268.7604571546185,2008-02-05,2008-05-14,0.7204483921687588,4997.273169429245,Mercedes,2008
3,20.706060606060603,30.075151515151514,25.39060606060606,67.93,65.33545454545455,149.7552024978427,56.7505132513666,27.480826439525103,93.0046892464761,0.0,11.591818395983525,3205.5124089099354,2008-02-05,2008-05-14,0.3789552035909011,3445.5079203748264,Mercedes,2008
4,15.419545454545455,24.004545454545454,19.712045454545457,69.73,75.4659090909091,48.09620817534571,38.20477952978158,35.30435199777264,9.891428645564124,23.701694911970872,10.990043940231274,1421.3580307980458,2008-02-05,2008-05-14,0.7943407802647839,3303.7878262756676,Mercedes,2008
1,24.197058823529414,32.135882352941174,28.166470588235292,75.32,67.7570588235294,24.464890364308694,18.771492180101507,17.24715857993386,5.6933981842071875,43.585462168066805,12.620384297623426,2167.6122108229033,2008-02-15,2008-05-24,0.7672829062617357,8600.122607127338,Mercedes,2008
2,21.997857142857146,31.360357142857143,26.67910714285714,55.92,64.86285714285715,96.43331255358437,62.271555282060625,8.26221263089652,34.161757271523754,2.633390666976716,12.085025315648931,3101.9184396068244,2008-02-15,2008-05-24,0.6457473422108014,4030.1981707955906,Mercedes,2008
3,19.01151515151515,28.153636363636366,23.582575757575757,117.85,68.39606060606062,127.86466499594209,59.30039730752184,45.32,68.56426768842026,21.49181532337468,11.361549622325612,2857.899712996965,2008-02-15,2008-05-24,0.4637747051494155,2949.6510695750144,Mercedes,2008
4,15.189545454545454,24.895909090909093,20.042727272727273,8.1,73.84363636363636,47.317563553462946,34.024282277639905,19.395717722360093,13.293281275823045,0.0,10.812700910055735,1355.4208760190947,2008-02-15,2008-05-24,0.7190624309976718,2783.91750939671,Mercedes,2008
1,22.681764705882355,30.66588235294118,26.673823529411763,82.4,69.29529411764706,22.620444214707906,15.557548296550875,20.64577777777777,7.062895918157031,50.57306965511465,12.38717478577157,2032.4156545477122,2008-02-25,2008-06-03,0.6877649328581837,7597.488839027796,Mercedes,2008
2,21.13607142857143,31.076071428571428,26.10607142857143,26.150000000000002,61.97035714285715,92.65121765791947,40.33163984683265,3.5846472288140876,52.31957781108682,2.879490702131033,11.842249408790394,2893.748907948967,2008-02-25,2008-06-03,0.4353060959839987,1162.105389184891,Mercedes,2008
3,17.106969696969696,25.51757575757576,21.312272727272727,123.78,74.70575757575757,105.2464400898236,75.24281051924284,30.395696385481678,30.003629570580756,21.726140324089577,11.145452800806318,2435.8667598135967,2008-02-25,2008-06-03,0.7149202429557343,996.4590281805608,Mercedes,2008
4,15.31590909090909,25.108636363636364,20.21227272727273,31.54,72.74136363636363,47.33716793684942,24.78534846891955,37.150347916562126,22.55181946792987,0.0,10.668464726614488,1319.761594424764,2008-02-25,2008-06-03,0.5235917049787319,901.5147588457506,Mercedes,2008
1,21.595294117647057,30.694705882352938,26.145000000000003,45.519999999999996,66.23588235294118,22.793133165957148,18.237267533471332,11.885769598977618,4.5558656324858156,19.853180591504863,12.170521377925391,1902.8619553869084,2008-03-05,2008-06-12,0.8001211330046428,7444.560091965623,Mercedes,2008
2,20.91857142857143,30.55785714285714,25.738214285714285,52.09,63.25714285714286,80.48136689575956,39.087552096803186,24.888217502174427,41.393814798956384,0.0,11.626266772488975,2771.576144934024,2008-03-05,2008-06-12,0.4856720704983783,1701.1423247390014,Mercedes,2008
3,16.10242424242424,25.13818181818182,20.62030303030303,84.12,75.06545454545454,99.63821174563614,70.23806565799045,16.18391082606347,29.400146087645698,22.58624101812051,10.96837616643981,2223.421736400779,2008-03-05,2008-06-12,0.7049310141906141,1450.1651544999224,Mercedes,2008
4,14.564090909090908,23.495454545454546,19.029772727272725,72.72,73.90045454545454,41.01535748328034,23.657426739598257,45.32,17.357930743682083,19.926484086465216,10.572809045693553,1193.6271562272336,2008-03-05,2008-06-12,0.5767943568270021,1327.4215391164805,Mercedes,2008
1,21.833529411764708,31.405882352941177,26.61970588235294,21.37,64.93705882352941,22.393627444530537,14.963496129907655,6.821482048860006,7.430131314622881,6.1312440434545605,11.926826707684128,1830.2215204031293,2008-03-15,2008-06-22,0.6682033166342761,6260.384099587056,Mercedes,2008
2,19.611071428571428,29.163214285714286,24.38714285714286,67.27,67.01821428571428,70.54396630851943,44.363174342766875,25.695330376245387,26.180791965752547,4.0329773298477445,11.393678390955232,2500.2678628325684,2008-03-15,2008-06-22,0.6288726969043312,2775.28489875293,Mercedes,2008
3,14.795151515151515,23.966969696969695,19.381060606060608,75.28,73.86424242424242,92.33238894629558,58.08352568519868,19.807538164632533,34.2488632610969,23.084266526414183,10.797407140596606,1939.112986444028,2008-03-15,2008-06-22,0.629069889212793,2260.566531272687,Mercedes,2008
4,12.755,21.136363636363637,16.945681818181818,63.01,76.96227272727273,33.01109740273866,26.500188936486147,38.25215289056397,6.51090846625252,18.065196337582417,10.509847990669458,948.7982890107082,2008-03-15,2008-06-22,0.8027660702454451,2171.39444718578,Mercedes,2008
1,21.18235294117647,31.578823529411768,26.38058823529412,7.99,58.15117647058824,21.746303432291104,10.10945483866512,2.87299861647814,11.636848593625983,0.0,11.684531695900526,1724.9097178056365,2008-03-25,2008-07-02,0.46488153125158665,5248.7693181988925,Mercedes,2008
2,17.300357142857145,25.495714285714286,21.398035714285715,123.68,74.91785714285713,53.594180527783855,45.603222754316654,35.10791958353666,7.990957773467202,45.84185627862482,11.174260259410062,2104.203136737404,2008-03-25,2008-07-02,0.8508987786589144,4074.8724443772844,Mercedes,2008
3,15.202121212121213,24.866969696969697,20.034545454545455,41.44,73.78030303030303,91.10202180547086,48.26818084736035,28.279738736176316,42.8338409581105,0.0,10.660533264140756,1945.9658292116794,2008-03-25,2008-07-02,0.5298255723723329,3116.922034781863,Mercedes,2008
4,12.082727272727272,20.043636363636363,16.063181818181818,60.79,78.23954545454545,29.472807871392703,27.723313747157977,40.92259484939444,1.7494941242347268,20.4238301396239,10.496047932654564,903.1475028077107,2008-03-25,2008-07-02,0.9406403987068759,3079.9181849325823,Mercedes,2008
1,23.77,31.71705882352941,27.743529411764705,59.11,71.40235294117646,24.42451699813153,18.434181995629242,12.024887188095512,5.990335002502286,32.858345499225436,12.840299303190928,2261.9701392733286,2009-02-05,2009-05-15,0.7547409022270308,9640.981191999197,Mercedes,2009
2,23.89892857142857,32.62357142857143,28.261249999999997,57.98,64.58035714285714,102.56752952595264,52.207738800664075,4.630562230020523,50.359790725288555,13.16658615741092,12.32613620834709,3397.545183299854,2009-02-05,2009-05-15,0.5090084458693526,2540.520683793155,Mercedes,2009
3,21.78,32.56363636363636,27.171818181818182,45.75,58.90393939393939,171.57389144412767,41.73642296565528,8.644139264365245,129.8374684784724,0.0,11.591818395983525,3302.34685656398,2009-02-05,2009-05-15,0.2432562589468723,1579.259120554914,Mercedes,2009
4,18.679545454545455,28.587272727272726,23.633409090909094,76.3,66.87818181818182,59.46771185117088,19.14529066563119,44.09788455180115,40.32242118553969,21.70096404693291,10.990043940231274,1727.8152716917757,2009-02-05,2009-05-15,0.3219442966553998,1365.0939898046668,Mercedes,2009
1,24.181764705882355,31.995294117647056,28.088529411764707,50.26,71.13176470588235,24.096662362606924,19.42959104809311,14.830089566816465,4.667071314513813,20.396721337501646,12.620384297623426,2173.2546280758625,2009-02-15,2009-05-25,0.806318765467032,9152.709505518416,Mercedes,2009
2,23.47607142857143,33.21964285714286,28.347857142857144,30.66,59.86928571428571,100.87496783293223,42.8355640682489,2.654525498567563,58.03940376468332,0.0,12.085025315648931,3218.2277885152444,2009-02-15,2009-05-25,0.42464017573906515,1253.5575066087213,Mercedes,2009
