municipio,data_semeadura,isna_medio,isna_desvio,n_anos,freq_evento_adverso,freq_deficit_faseI,freq_deficit_faseIII,freq_frio_floracao,freq_geada,freq_excesso_faseIV,risco_climatico,pct_anos_cobre_custo,margem_media_rs_ha_operacional_conab,risco_economico,margem_media_rs_ha_100pct,margem_media_rs_ha_rateio50,margem_media_rs_ha_rateio_proporcional,score_clima,score_economico,score_combinado
Catanduvas,05/03/,0.7542836333084773,0.0969021991687501,27,0.3333333333333333,0.2222222222222222,0.1111111111111111,1.0,0.0,0.6296296296296297,Risco climático 40%,50.0,101.05320687329305,Mais viável,-828.5389750579767,72.55813030325348,239.4279646294072,2,0,2
Catanduvas,15/02/,0.7678353843316913,0.0913229357238973,27,0.2962962962962963,0.037037037037037,0.2592592592592592,0.8518518518518519,0.0,0.3333333333333333,Risco climático 30%,50.0,99.51844285153658,Mais viável,-830.0737390797332,71.02336628149698,237.8932006076508,1,0,1
Catanduvas,15/03/,0.7622109327481338,0.0981148310458775,27,0.3333333333333333,0.2222222222222222,0.1111111111111111,1.0,0.037037037037037,0.5925925925925926,Risco climático 40%,50.0,96.62841686834804,Mais viável,-832.9637650629217,68.13334029830844,235.00317462446225,2,0,2
Catanduvas,25/02/,0.7486297998838322,0.0963385492468184,27,0.2592592592592592,0.1481481481481481,0.1481481481481481,0.9629629629629628,0.0,0.4814814814814814,Risco climático 30%,50.0,106.97328058441684,Mais viável,-822.6189013468527,78.47820401437735,245.34803834053116,1,0,1
Catanduvas,25/03/,0.7567560943570096,0.1141221678779873,27,0.4074074074074074,0.3333333333333333,0.1111111111111111,1.0,0.1481481481481481,0.5925925925925926,Inapto (risco > 40%),50.0,91.45885381909908,Mais viável,-838.1333281121705,62.96377724905957,229.8336115752133,3,0,3
Corbélia,05/02/,0.7473366087974344,0.1167847648290243,27,0.4444444444444444,0.1481481481481481,0.3703703703703703,0.4074074074074074,0.0,0.2222222222222222,Inapto (risco > 40%),50.0,56.09776731515426,Mais viável,-873.4944146161153,27.60269074511477,194.47252507126848,3,0,3
Corbélia,05/03/,0.7076953512032427,0.1116114609732139,27,0.3703703703703703,0.2222222222222222,0.1851851851851851,1.0,0.0,0.4444444444444444,Risco climático 40%,50.0,62.1258753226659,Mais viável,-867.4663066086038,33.63079875262633,200.50063307878008,2,0,2
Corbélia,15/02/,0.7336000929667233,0.1030815449990766,27,0.2962962962962963,0.074074074074074,0.2592592592592592,0.7407407407407407,0.0,0.2592592592592592,Risco climático 30%,50.0,45.34025395950611,Viabilidade intermediária,-884.2519279717633,16.845177389466734,183.71501171562048,1,1,2
Corbélia,15/03/,0.7145295133901824,0.1082198363747604,27,0.4814814814814814,0.2962962962962963,0.2592592592592592,1.0,0.037037037037037,0.5185185185185185,Inapto (risco > 40%),50.0,60.07903967538333,Mais viável,-869.5131422558862,31.58396310534382,198.4537974314976,3,0,3
Corbélia,25/02/,0.707974400308145,0.1087072479898137,27,0.3703703703703703,0.1111111111111111,0.2962962962962963,0.925925925925926,0.0,0.3703703703703703,Risco climático 40%,50.0,58.712157275684476,Mais viável,-870.8800246555852,30.21708070564493,197.08691503179855,2,0,2
Corbélia,25/03/,0.7068008541913229,0.1223578582632227,27,0.5555555555555556,0.4814814814814814,0.1481481481481481,1.0,0.1481481481481481,0.4814814814814814,Inapto (risco > 40%),50.0,52.08029737806597,Viabilidade intermediária,-877.5118845532038,23.58522080802649,190.45505513418027,3,1,4
Céu Azul,05/02/,0.7326195426621467,0.1189392537306219,27,0.3333333333333333,0.1851851851851851,0.2222222222222222,0.5185185185185185,0.0,0.3333333333333333,Risco climático 40%,50.0,42.53326051791351,Viabilidade intermediária,-887.0589214133561,14.038183947873971,180.90801827402777,2,1,3
Céu Azul,05/03/,0.7313249466905272,0.09548349731933,27,0.3703703703703703,0.2962962962962963,0.1481481481481481,1.0,0.0,0.5185185185185185,Risco climático 40%,50.0,79.21280477293924,Mais viável,-850.3793771583304,50.71772820289969,217.58756252905343,2,0,2
Céu Azul,15/02/,0.7321453356260016,0.097410978126033,27,0.2592592592592592,0.1111111111111111,0.1851851851851851,0.8518518518518519,0.0,0.3703703703703703,Risco climático 30%,50.0,45.26526933482091,Viabilidade intermediária,-884.3269125964487,16.770192764781367,183.64002709093515,1,1,2
Céu Azul,15/03/,0.7403247117966058,0.0983623772755646,27,0.5555555555555556,0.4444444444444444,0.1111111111111111,1.0,0.037037037037037,0.5185185185185185,Inapto (risco > 40%),46.2,62.02274598475257,Mais viável,-867.5694359465168,33.52766941471301,200.3975037408668,3,0,3
Céu Azul,25/02/,0.7236931136665788,0.098314623177204,27,0.2962962962962963,0.2222222222222222,0.1481481481481481,0.9629629629629628,0.0,0.4074074074074074,Risco climático 30%,50.0,72.47302241814151,Mais viável,-857.1191595131281,43.977945848102,210.8477801742558,1,0,1
Céu Azul,25/03/,0.7413706820309821,0.1159364646913693,27,0.6296296296296297,0.5925925925925926,0.1111111111111111,1.0,0.1851851851851851,0.5555555555555556,Inapto (risco > 40%),50.0,55.31271656307414,Viabilidade intermediária,-874.2794653681956,26.817639993034565,193.6874743191884,3,1,4
Diamante D'Oeste,05/02/,0.6725791217487554,0.1404638252627179,27,0.4814814814814814,0.2592592592592592,0.4074074074074074,0.2222222222222222,0.0,0.2592592592592592,Inapto (risco > 40%),42.3,-57.762692679234235,Menos viável,-987.354874610504,-86.25776924927376,80.61206507687999,3,2,5
Diamante D'Oeste,05/03/,0.6850264488333935,0.1138339290514844,27,0.4444444444444444,0.3703703703703703,0.1851851851851851,0.925925925925926,0.0,0.4444444444444444,Inapto (risco > 40%),46.2,-21.27095191534859,Menos viável,-950.863133846618,-49.76602848538804,117.10380584076572,3,2,5
Diamante D'Oeste,15/02/,0.6753336280949022,0.1191067434224431,27,0.4074074074074074,0.1481481481481481,0.2962962962962963,0.4814814814814814,0.0,0.3333333333333333,Inapto (risco > 40%),46.2,-38.03566156205201,Menos viável,-967.6278434933216,-66.53073813209151,100.3390961940622,3,2,5
Diamante D'Oeste,15/03/,0.7042963443197316,0.1098182330519057,27,0.7037037037037037,0.5185185185185185,0.1851851851851851,1.0,0.0,0.4814814814814814,Inapto (risco > 40%),46.2,-53.34405187456785,Menos viável,-982.9362338058376,-81.83912844460734,85.03070588154642,3,2,5
Diamante D'Oeste,25/02/,0.6714475147844282,0.1147763135401152,27,0.4074074074074074,0.2962962962962963,0.1851851851851851,0.7777777777777778,0.0,0.3703703703703703,Inapto (risco > 40%),46.2,-29.357340535286372,Menos viável,-958.949522466556,-57.8524171053259,109.01741722082784,3,2,5
