sercodigo,ano,mes,valor
DERAL12_PRMI12,2009,8,14.7018
DERAL12_PRMI12,2009,9,14.5011
DERAL12_PRMI12,2009,10,15.1996
DERAL12_PRMI12,2009,11,15.5137
DERAL12_PRMI12,2009,12,14.8273
DERAL12_PRMI12,2010,1,14.58
DERAL12_PRMI12,2010,2,14.09
DERAL12_PRMI12,2010,3,13.84
DERAL12_PRMI12,2010,4,13.68
DERAL12_PRMI12,2010,5,13.73
DERAL12_PRMI12,2010,6,13.92
DERAL12_PRMI12,2010,7,13.07
DERAL12_PRMI12,2010,8,14.14
DERAL12_PRMI12,2010,9,16.6
DERAL12_PRMI12,2010,10,17.79
DERAL12_PRMI12,2010,11,19.87
DERAL12_PRMI12,2010,12,19.5
DERAL12_PRMI12,2011,1,20.62
DERAL12_PRMI12,2011,2,22.34
DERAL12_PRMI12,2011,3,22.9
DERAL12_PRMI12,2011,4,23.67
DERAL12_PRMI12,2011,5,23.22
DERAL12_PRMI12,2011,6,23.52
DERAL12_PRMI12,2011,7,23.78
DERAL12_PRMI12,2011,8,22.23
DERAL12_PRMI12,2011,9,23.03
DERAL12_PRMI12,2011,10,21.65
DERAL12_PRMI12,2011,11,21.66
DERAL12_PRMI12,2011,12,20.3
DERAL12_PRMI12,2012,1,22.5
DERAL12_PRMI12,2012,2,23.07
DERAL12_PRMI12,2012,3,22.57
DERAL12_PRMI12,2012,4,21.39
DERAL12_PRMI12,2012,5,20.5608
DERAL12_PRMI12,2012,6,19.9646
DERAL12_PRMI12,2012,7,23.1734
DERAL12_PRMI12,2012,8,26.5978
DERAL12_PRMI12,2012,9,24.7829
DERAL12_PRMI12,2012,10,24.3299
DERAL12_PRMI12,2012,11,26.3501
DERAL12_PRMI12,2012,12,26.9247
DERAL12_PRMI12,2013,1,25.8407
DERAL12_PRMI12,2013,2,25.0618
DERAL12_PRMI12,2013,3,22.5601
DERAL12_PRMI12,2013,4,19.5007
DERAL12_PRMI12,2013,5,19.1247
DERAL12_PRMI12,2013,6,19.9799
DERAL12_PRMI12,2013,7,18.7576
DERAL12_PRMI12,2013,8,17.4234
DERAL12_PRMI12,2013,9,17.7746
DERAL12_PRMI12,2013,10,17.258
DERAL12_PRMI12,2013,11,17.8115
DERAL12_PRMI12,2013,12,18.6169
DERAL12_PRMI12,2014,1,19.4683
DERAL12_PRMI12,2014,2,20.981
DERAL12_PRMI12,2014,3,23.2909
DERAL12_PRMI12,2014,4,23.0416
DERAL12_PRMI12,2014,5,21.3171
DERAL12_PRMI12,2014,6,20.0306
DERAL12_PRMI12,2014,7,18.4361
DERAL12_PRMI12,2014,8,18.3849
DERAL12_PRMI12,2014,9,17.8174
DERAL12_PRMI12,2014,10,17.8437
DERAL12_PRMI12,2014,11,20.0113
DERAL12_PRMI12,2014,12,21.3594
DERAL12_PRMI12,2015,1,20.7311
DERAL12_PRMI12,2015,2,20.8006
DERAL12_PRMI12,2015,3,21.3353
DERAL12_PRMI12,2015,4,20.8707
DERAL12_PRMI12,2015,5,19.4128
DERAL12_PRMI12,2015,6,19.1749
DERAL12_PRMI12,2015,7,20.7367
DERAL12_PRMI12,2015,8,20.8949
DERAL12_PRMI12,2015,9,23.0429
DERAL12_PRMI12,2015,10,24.3686
DERAL12_PRMI12,2015,11,24.4503
DERAL12_PRMI12,2015,12,24.3404
DERAL12_PRMI12,2016,1,29.6009
DERAL12_PRMI12,2016,2,32.4329
DERAL12_PRMI12,2016,3,34.2552
DERAL12_PRMI12,2016,4,37.1784
DERAL12_PRMI12,2016,5,39.9797
DERAL12_PRMI12,2016,6,38.7294
DERAL12_PRMI12,2016,7,34.6898
DERAL12_PRMI12,2016,8,35.0185
DERAL12_PRMI12,2016,9,31.4872
DERAL12_PRMI12,2016,10,32.1148
DERAL12_PRMI12,2016,11,29.963
DERAL12_PRMI12,2016,12,29.3473
DERAL12_PRMI12,2017,1,27.4558
DERAL12_PRMI12,2017,2,25.2821
DERAL12_PRMI12,2017,3,23.1095
DERAL12_PRMI12,2017,4,20.77
DERAL12_PRMI12,2017,5,20.6345
DERAL12_PRMI12,2017,6,19.4856
DERAL12_PRMI12,2017,7,18.0931
DERAL12_PRMI12,2017,8,17.4135
